#SampleID	SRR8865601
k__Bacteria	100.0
k__Bacteria|p__Proteobacteria	47.58079
k__Bacteria|p__Firmicutes	38.54164
k__Bacteria|p__Bacteroidetes	11.44789
k__Bacteria|p__Actinobacteria	2.2552
k__Bacteria|p__Verrucomicrobia	0.09466
k__Bacteria|p__Candidatus_Saccharibacteria	0.07981
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	47.58079
k__Bacteria|p__Firmicutes|c__Negativicutes	21.65641
k__Bacteria|p__Firmicutes|c__Clostridia	14.90716
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	11.44789
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2.2552
k__Bacteria|p__Firmicutes|c__Bacilli	1.71638
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.26169
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.09466
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.07981
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	43.87485
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	21.65641
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	14.90716
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	11.44789
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	3.70594
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	1.77974
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1.71638
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.37178
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.26169
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.10368
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.09466
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.07981
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	43.87485
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	21.65641
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	12.06009
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	10.60786
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	3.70594
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	1.93387
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	1.77974
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.9132
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.90996
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.66293
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.37178
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.36333
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.26169
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.24341
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.23329
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0.10368
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.09466
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.08733
