#SampleID	SAMEA3541573
k__Bacteria	99.93222
k__Archaea	0.05265
k__Eukaryota	0.01513
k__Bacteria|p__Bacteroidetes	55.20917
k__Bacteria|p__Firmicutes	24.09252
k__Bacteria|p__Verrucomicrobia	9.46316
k__Bacteria|p__Proteobacteria	8.40401
k__Bacteria|p__Actinobacteria	2.05452
k__Bacteria|p__Fusobacteria	0.70885
k__Archaea|p__Euryarchaeota	0.05265
k__Eukaryota|p__Ascomycota	0.01513
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	55.20917
k__Bacteria|p__Firmicutes|c__Negativicutes	11.4777
k__Bacteria|p__Firmicutes|c__Clostridia	9.74817
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	9.46316
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	4.52873
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2.55663
k__Bacteria|p__Firmicutes|c__Bacilli	2.38338
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2.05452
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.31865
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.70885
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.48327
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.05265
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0.01513
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	55.20917
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	11.4777
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	9.74817
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	9.46316
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	4.52873
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2.55663
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2.37957
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	1.65987
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	1.08906
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.70885
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.48327
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.38141
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.22959
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.05265
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0.01513
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.01324
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.00381
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	36.62168
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	13.28471
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	11.4777
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	9.46316
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	6.27943
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	5.30279
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	4.52873
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2.9923
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2.34068
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	1.65987
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	1.34824
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	1.20114
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	1.08906
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	0.70885
