#SampleID	SAMEA3541494
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	41.37235
k__Bacteria|p__Firmicutes	34.83988
k__Bacteria|p__Actinobacteria	20.19577
k__Bacteria|p__Proteobacteria	2.72114
k__Bacteria|p__Verrucomicrobia	0.82527
k__Bacteria|p__Fusobacteria	0.0456
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	41.37235
k__Bacteria|p__Firmicutes|c__Clostridia	30.82648
k__Bacteria|p__Actinobacteria|c__Actinobacteria	20.19577
k__Bacteria|p__Firmicutes|c__Bacilli	2.72341
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.95592
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	1.20858
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.82527
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.76522
k__Bacteria|p__Firmicutes|c__Negativicutes	0.08141
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.0456
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	41.37235
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	30.82648
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	18.60999
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2.72341
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	1.94727
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.57344
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	1.20858
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.82527
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.76522
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.08141
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.0456
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.01234
