#SampleID	SAMEA3541471
k__Bacteria	73.51772
k__Archaea	26.4464
k__Viruses	0.03588
k__Bacteria|p__Actinobacteria	45.36935
k__Archaea|p__Euryarchaeota	26.4464
k__Bacteria|p__Firmicutes	22.11363
k__Bacteria|p__Bacteroidetes	5.48625
k__Bacteria|p__Proteobacteria	0.52852
k__Viruses|p__Viruses_noname	0.03588
k__Bacteria|p__Verrucomicrobia	0.01491
k__Bacteria|p__Candidatus_Saccharibacteria	0.00506
k__Bacteria|p__Actinobacteria|c__Actinobacteria	45.36935
k__Archaea|p__Euryarchaeota|c__Methanobacteria	26.4401
k__Bacteria|p__Firmicutes|c__Clostridia	16.71607
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	5.48625
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2.97682
k__Bacteria|p__Firmicutes|c__Bacilli	1.66768
k__Bacteria|p__Firmicutes|c__Negativicutes	0.75305
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.45511
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.06606
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.03588
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.01491
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.00735
k__Archaea|p__Euryarchaeota|c__Methanococci	0.0063
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.00506
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	34.74208
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	26.4401
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	16.71607
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	10.54706
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	5.48625
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2.97682
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1.05852
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.75305
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.60916
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.44888
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.08021
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.06606
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	0.03588
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.01491
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.00735
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales	0.0063
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.00622
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.00506
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	34.74208
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	26.4401
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	10.54706
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	6.96935
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	5.12967
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2.97682
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2.97204
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	2.49218
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	1.38174
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	1.19359
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	1.05852
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.68468
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.67918
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.60403
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.5843
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.44888
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.35893
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.20073
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	0.16875
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.08887
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.07351
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.06606
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.03692
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname	0.03588
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.01491
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis	0.01445
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.00735
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae	0.0063
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.00622
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.00514
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname	0.00506
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae	0.00473
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0.00198
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	34.73419
