#SampleID	SAMEA3541536
k__Bacteria	100.0
k__Bacteria|p__Firmicutes	90.74245
k__Bacteria|p__Actinobacteria	4.93723
k__Bacteria|p__Bacteroidetes	3.23145
k__Bacteria|p__Proteobacteria	1.07771
k__Bacteria|p__Candidatus_Saccharibacteria	0.01117
k__Bacteria|p__Firmicutes|c__Clostridia	59.5787
k__Bacteria|p__Firmicutes|c__Negativicutes	29.23829
k__Bacteria|p__Actinobacteria|c__Actinobacteria	4.93723
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	3.23145
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	1.13804
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.01078
k__Bacteria|p__Firmicutes|c__Bacilli	0.78743
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.06461
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.01117
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.00232
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	59.5787
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	29.23829
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	4.27441
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	3.23145
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	1.13804
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.98935
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.77748
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.6512
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.06461
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.02143
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.01161
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.01117
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.00995
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.00232
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	42.1573
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	28.5573
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	9.99718
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	6.9037
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	4.27441
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2.5129
