	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0.00697	0.12211	3.70137	0.00471	2.39147	1.10214	0.00137	0	0	0	0.06963	0	0	0	0	0	0	0	0	0	0.76527	0	0	1.59081	0	0.30125	0	0	2.36179	0.23426	0.33101	0.00955	0.00231	0.01937	1.56799	0	0.0097	0.00356	0.08612	0.63385	0.11352	0	0.52747	0.1023	0.04808	0.00156	0.00619	0.13241	0.47629	0.00345	0	0.00726	1.72904	0	0	0	0.03454	0.00802	0.22875	0.00974	1.06821	0	0	0	0.15452	5e-04	0	0	0	0	0.56285	0	0.55817	0	0.02575	0	0	0.1172	0	0.08566	0	0.00848	0.411	0.1549	0	0.00284	0.06872	0.2191	0.00707	0	0	0	0.00295	2.71764	0	0.09435	0.19237	0	0.42639	2.84166	1.25128	0.01496	0	0	0	0.19357	0.30577	0	0.88944	0	0.07182	0.12118	0.00326	7.92743	0	0	0.00219	0	0.49879	0	3.07157	0	0	0.2067	0.09873	0	0.48039	0	0.01855	0	0.5927	0.00254	0	0	0.09358	0	0.01125	1.1711	0.67655	0.46071	0.0011	1.10629	0	2.63399	0.80161	0.1985	0	0.25852	0	0	1.5262	0.004	0	0	0.04176	0.00718	0	0.01215	0	0	0.00228	0.09615	3.74237	0	0.00595	0	0	0.00384	0	0	0	0.55952	0.11193	0	0	0.89103	0.0058	0	0	0.43682	0	0	0	0.01143	0.00255	0	0	0	0	0.53901	0	0.04374	0	0.12418	0	0	0.0019	0.41414	0.93141
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.00574	0.00048	0.08928	0.127	0.12017	0.00629	0.04019	0.46709	0.08769	0.00104	0.0823	0	0	0.33298	1.26337	0.09999	0	0.00708	0	0.00696	0	0	0.0027	0	1.73758	0.16613	0.10741	0	0.00129	0	0.01353	0.26782	0.01226	0.01068	0	0	0	0	0.06252	0.00818	0.01092	0	0	0.20039	0	0	0	0	0.01997	0.01281	0.75786	0	0.03643	0.00363	0.04748	0.84036	0.00113	0.01185	0.03941	0.00523	1.08298	0	0	0.04553	0.04967	0.01727	0	0	0.10325	0	0	0.28315	0	0.04065	0	0.00238	0	0.03433	0.00655	2.35357	0.04356	0.07692	0	0	0.03278	0.14295	0.0152	0.021	0.02353	0.01069	0	0	0.16807	0.02999	0.00109	0.00837	0.06431	0	2.71466	0.00057	0.14296	0	0.3147	0.01831	0.03736	0.14312	0.00063	0.11199	0.01707	0	0.0792	0	0.00449	0.02481	0	0	0	0.00583	0	0.10919	0	0.04473	0	0.02547	0	0.05176	0	0.03644	0	0	0.07076	0.00348	0	0.03742	0.4056	0	0.00632	0.65807	0	0	0.01168	0.15827	0.00266	0.00031	0.07884	0.12342	0	0.05334	0	0.19974	0	0	0.01045	0.12085	0	0	0	0	0	0	0	0.5729	0.09352	6e-04	0	0	0	0.04704	0	0	0	0	0	0.0226	0.01728	0.04784	0.0414	0.01588	0	0.01407	0	0	0	0.25028	0.00054	0	0.0431	0.00111	0.07963	0	0.01381	0	0.01639	0.51051	0.00648	0.00073	0.05316	0.00321	0.01065
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.00356	0	0.00961	0.21161	0	0.01834	0.02081	0.00653	0.52046	0	0.0022	0	0	0.00136	0	0.02247	0	0	0.00257	0.02585	0	0	0.00888	0.01464	0.05402	0.02649	0	0.02814	0.0069	0.01497	0.181	0	0	0.02696	0	0.00026	0	0.01003	0.04554	0	0	0	0	0	0	0	0.01949	0.11463	0.0106	0	0.00597	2.49549	0	0.04146	0.02449	0.10275	0.00973	0.02158	0	1.17589	0.13709	0.02034	0.00239	0	0.03075	0.01297	0.023	0.05192	0.00087	0	0.01723	0.03388	0.02639	0	0	0	0.00142	0.01627	0.00042	0.05409	0.00291	0	0	0.00677	0	0.00094	0.00744	0.03015	0.00022	0.28937	0.01175	0	0.04174	0.03776	0.004	0	1.12256	0.01105	0.13754	0.02301	0.00796	0.0061	0.11838	0.0046	0.0056	0.00959	0	0.32077	0.0228	0.00606	0.00649	0	0.05492	0.02259	0.03461	0.0057	0.0242	0.08307	0.02942	0	0	0.10855	0.02781	0	0.0397	0.21556	0.09578	0.00476	0	0	0	0	0	0	0.05626	0	0	0.01535	0	0.02125	0.02147	0.01412	0	0.00365	0.00167	0.0618	0	0.00304	0	0.01525	0.00389	0.0046	0	0.00845	0.00468	0.00626	0.25742	0	0.00154	0	0	0.13508	0.04526	0.00064	0.01001	0.00047	0	0	0.01467	0.00868	0.05016	0.01371	0	0.02283	0.00986	0	0.15524	0.05985	0	0	0.00938	0	0	0.01522	0.01346	0.09126	0.0186	0.00765	0	0.00212	0.002	0	0.00122	0.0041	0	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.00155	0.00415	0	0	0.00643	0.00476	0.00205	0.0042	0.01263	0.00042	0.00217	0	0	0	0	0	0	0	0	0.00473	0	0	0.00628	0.01323	0	0.00556	0	0	0	0.00093	0.03699	0	0	0.00159	0	0.00262	0.00264	0	0.00829	0	0	0	0	0.00293	0.00257	0	0	0.00437	0	0	0.00078	0.01998	0	0	0	0	0	0	0	0.02428	0.00517	0	0.0017	0	0	0	0	0	0	0	0	0.00475	0	0	0	0	0	0.02508	0	0	0	0	0	0.00038	0	0	0.00296	0	0	0	0	0	0.00286	0.01609	0	0	0	0.01631	0	0.00303	0	0	0	0.00991	0	0	0	0	0	0	0.00114	0	0	0.00562	0	0	0	0	0	0	0.00406	0	0.0011	0	0.00546	0	0.01677	0	0	0.00778	0	0	0	0	0	0	0	0	0	0.00212	0.00047	0.00973	0	0	0	0	0	0	0	0	0	0	0	0.00369	0.01307	0	0.00042	0	0.00053	0	0	0	0.00903	0.00998	0	0	0	0	0.0063	0.00226	0	0.01995	0	0	0.00304	0	0	0.00308	0	0	0.008	0	0	0	0	0	0.08197	0	0	0	0.00136	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	33.47455	4.25553	25.35048	15.46459	28.18997	29.99126	13.90454	25.1148	15.72509	15.59813	21.03119	17.25771	17.42333	11.30081	9.04246	20.19286	23.81656	36.15269	36.85588	11.69205	6.96093	31.71318	10.92336	32.96817	19.52571	4.12224	24.93234	13.76096	9.07728	16.51286	41.71413	19.00646	17.18594	26.56518	10.56984	37.01399	20.33695	11.85543	20.89081	40.55722	2.58501	19.01304	30.0395	33.03084	35.3564	38.97411	14.67316	12.81398	17.8078	19.00694	26.11914	23.82053	9.89347	47.27373	13.2862	22.71289	14.23377	3.8298	34.44019	24.97425	7.61862	27.69038	9.42147	32.29553	21.49324	3.55413	3.04799	43.55392	27.28427	13.44212	20.36797	24.1368	30.12066	2.06008	18.51753	16.60989	16.78474	7.93732	12.49702	21.56025	40.11087	20.70967	10.64348	26.14405	10.02646	31.49732	17.19507	32.26271	19.042	13.24378	21.6867	12.15575	15.27743	34.60584	28.78999	24.13972	7.29754	15.40516	6.9053	7.56197	24.18806	16.65639	1.39628	7.27633	35.88721	16.53005	29.95619	5.45658	24.47371	16.82102	34.63602	1.27383	26.14785	24.74073	19.05252	31.40849	10.63999	15.95368	40.60424	51.94575	17.18603	23.10087	45.55153	13.1135	28.79025	25.65456	21.57213	18.40148	23.1753	17.67256	10.5689	41.73557	12.33888	8.67722	39.0371	13.91135	3.84604	24.86368	13.54914	14.76614	20.22934	24.65367	16.31609	28.23625	20.12531	14.99556	22.45476	33.03433	8.51686	28.96894	28.4577	27.51968	16.62364	18.13412	10.781	24.10648	6.13966	31.95496	10.85113	32.95586	17.32904	11.71188	21.0909	23.68567	29.54538	13.74059	6.00786	21.85253	31.64159	30.46159	0.78922	43.15865	48.34057	30.85014	41.87402	11.76249	16.21257	14.96979	26.95477	21.71117	13.37265	25.54367	22.1228	16.04195	8.02237	15.75923	36.79915	21.90021	22.16617	20.38728	17.10367	21.89245	22.23211	22.60869	16.85352	33.46673	24.52409	26.92384	35.49192
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	14.2284	11.82151	16.19039	16.39753	15.82301	11.95967	46.86717	9.47844	4.39687	18.85398	13.31052	17.41882	5.75749	5.66452	19.62185	39.34097	6.39195	6.36491	13.13699	15.56513	5.70672	5.90094	6.00289	6.59345	6.96613	13.35269	16.19238	4.7357	5.04982	7.33177	8.69976	37.94969	3.3795	25.20732	35.36816	25.42911	15.67341	28.39852	23.36295	10.52588	0.5612	5.28845	5.05507	3.44675	6.15547	10.2326	9.74322	25.74962	42.21614	8.28811	28.46938	9.58562	18.98214	26.80019	38.04695	13.43248	25.3827	6.02853	9.05729	28.60205	15.48269	31.21834	7.83828	4.1764	20.28488	20.7593	27.43596	13.8642	31.76619	0.49928	28.96937	13.43388	5.38695	2.83788	13.61956	4.70165	25.94443	26.46174	24.22815	22.29001	12.37323	19.62752	45.42286	20.09381	14.79196	24.38925	13.38211	11.13365	13.79673	13.0218	12.19534	13.24098	12.35381	12.70254	18.95131	21.6208	8.24396	32.79016	37.00868	10.93804	8.63904	8.70583	4.79772	27.37483	23.34685	8.81192	7.09517	38.58943	14.64075	8.59183	21.33457	5.30888	18.69774	11.73591	12.02286	17.75467	22.18189	18.62011	15.03811	9.48829	8.7834	12.8328	13.28449	5.23824	15.27939	22.48914	36.29403	30.11326	33.96063	20.31044	11.94059	5.70624	9.58938	5.67833	10.20679	0.29511	7.79483	23.73881	16.84713	4.89959	14.59118	11.88797	14.40817	14.92941	17.42981	5.3797	14.69904	11.55634	4.78734	21.55014	19.02863	38.07138	6.20556	15.95545	32.65023	12.16015	10.89543	12.62258	21.91291	11.71404	5.49134	7.18812	6.47181	44.01276	3.25328	13.37969	17.81063	22.79188	13.47939	11.20848	37.75786	10.20419	8.0052	8.69946	24.39308	5.98606	12.9526	16.5084	17.61564	12.76431	7.52998	5.58832	16.51046	22.07737	4.04066	14.90747	6.99468	16.92085	37.7655	9.72239	18.00991	5.81394	17.49359	5.80807	7.86409	6.40748	9.31116	11.06336	14.62745
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	12.12517	3.10346	16.15759	9.58535	15.11454	14.9939	12.71842	14.76089	5.03207	21.33696	5.32061	6.37489	22.89025	5.70335	36.8771	14.66957	9.28943	3.90917	18.89459	13.97828	6.79567	1.82744	1.90261	28.24694	2.7654	0.35784	5.13554	4.53533	5.34842	27.26995	4.5024	7.88897	2.62505	20.53906	10.04924	15.82887	6.40204	9.05969	2.53944	16.41059	0.85924	4.01863	1.17874	15.08009	1.15314	12.2431	1.28244	12.74746	12.5339	15.30548	14.53994	1.98034	2.15737	5.44876	17.5511	0.94334	18.19382	1.37003	26.65099	4.64361	2.93879	19.41785	0.14604	11.96363	15.0774	3.53723	0.01638	21.10052	4.35485	1.59905	14.35743	14.76749	10.44413	4.71848	9.39907	3.28618	6.87651	1.47685	12.28938	24.37849	17.3599	0.03277	1.71684	21.53395	0.6503	7.63671	20.8831	21.33158	8.98431	8.43683	4.51954	22.96206	12.31571	7.30787	15.69899	18.74281	7.58512	10.21488	17.17893	12.49798	14.22237	2.66297	0.89791	5.23179	12.77406	12.63454	10.20044	0.1093	14.65082	13.33465	16.01149	0.52662	7.297	6.78783	4.63574	11.66594	18.06112	6.94179	7.11271	6.22629	19.68117	20.16718	11.11011	7.83679	17.03497	4.98419	24.62095	8.88365	19.13392	8.97002	4.78771	6.05946	7.01585	0	3.49239	1.51351	2.77526	13.12539	1.40467	10.47138	5.99988	12.26104	3.05669	14.30555	13.99417	2.91396	0	5.12962	41.64538	15.50196	1.43728	14.43061	5.11487	11.12025	4.12598	9.27975	1.96569	3.14052	22.03256	22.15229	6.36446	43.49096	6.69087	14.4585	1.87273	24.55024	28.28972	1.67683	16.41982	2.6454	0.35426	7.99456	7.80714	6.93164	9.69991	10.78786	1.69667	33.15891	0.00638	11.83072	8.15862	10.08921	15.46281	7.88133	7.76057	11.51649	4.26517	21.94233	4.01301	0.31745	14.16164	22.42907	21.22507	2.03128	17.34485	4.42316	28.70936	10.99175	11.77663
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	11.807	0	5.80378	0.03602	0.96233	3.98041	1.33853	19.91324	0.29612	14.87709	4.90084	1.94903	1.44055	14.02168	0.98435	0.02079	8.05569	17.63903	3.03828	10.78207	0	0.01759	3.05837	0.03123	0.01299	0.34	15.35763	17.0464	0.98209	0.84965	9.31998	0	51.2832	1.43145	0.65481	5.425	12.02459	0.01343	0.21395	4.40444	0.05268	0.01265	0.30215	0.26271	52.56072	0	0.75094	4.22409	2.20768	0.53537	0.44322	1.56006	0.13383	0.01622	4.4522	0.26258	14.95542	10.39534	0.02447	0.51067	0.00267	0.07643	28.52885	6.83878	16.59631	0.76243	0.02563	4.19317	0.37322	5.39324	0.80209	1.3194	0.08231	4.66817	13.58189	0.3214	0.3588	0.29541	0.11206	0.74292	10.76041	0.00397	0	0.01235	0.44442	1.28527	17.20268	1.30571	3.84339	4.39327	7.66912	25.81135	1.11289	1.03159	0.83698	0.17176	0.34251	5.39295	1.71608	0.03425	0.37399	0.70226	9.25287	1.73569	2.9702	0.30343	15.80602	12.03022	2.21203	0.26142	1.36495	1.12764	1.78542	0.06645	2.12128	0.00265	8.74311	0.77757	6.46223	2.38721	0	0.24708	4.54905	32.98871	6.61249	1.88329	3.97087	0.82325	3.30884	0.78584	0.15289	3.09369	4.82361	0.0493	0.29432	0.3409	3.24509	0.0525	0.0043	16.52213	13.3753	17.42188	0.08719	0.68258	0	0.00145	7.2606	5.89198	7.91608	9.10913	6.36425	4.35613	20.61396	0.29539	0	4.18541	3.45043	5.49714	0.06798	1.61583	1.77651	1.58533	4.7051	0.96189	3.28914	0	1.09882	11.00604	0.02269	7.74071	0.02435	2.18876	3.86402	13.61662	5.54416	2.44804	5.21397	10.58277	0.00072	3.54128	0.02415	0.41528	0.09056	2.85291	0.00222	5.78251	17.58302	4.07486	1.21094	0.02885	1.10167	1.40282	3.33285	0.02556	7.03941	7.4952	3.23511	20.44747	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	9.78743	3.1107	0.54022	4.92112	1.654	4.40603	0.12141	2.54296	2.05317	0.71185	6.62204	2.57771	8.09403	4.85792	2.32185	3.30609	6.02259	7.08431	3.86446	1.00587	5.74158	0.18	0.93244	1.82767	8.82484	0.00425	2.96686	1.0608	5.24163	10.62711	1.19773	0.99423	1.24543	2.88281	1.6412	0.67227	3.40189	2.30813	0.61686	0.20409	6.20601	8.18741	7.62213	3.96431	0.07522	2.08947	2.36191	0.3849	0.57314	2.99879	4.06895	1.97505	0.44075	5.39713	4.27283	2.38195	0.31209	5.79495	3.64051	4.22963	0.11296	4.39144	5.03644	9.18417	7.05434	0.60278	5.81604	0.50694	0.86349	2.19211	3.6323	3.129	11.60772	0.02795	7.03797	7.56948	1.54533	4.17191	0.21194	0.43297	0.00344	8.58385	0	4.41505	11.67927	1.15737	2.30443	0.07477	11.65316	12.23898	9.67147	0.9343	2.83523	7.5376	4.60216	5.48218	0.31572	0.04965	0.73696	0.53972	6.20833	9.80758	0.00033	4.16607	2.64895	8.10705	0.43965	1.07125	3.47805	12.35676	1.27196	2.77315	0.65361	0.91485	3.05028	0.36183	3.16616	0.25315	1.81786	5.33361	4.42716	3.44917	0.28499	1.455	0.14388	3.02348	0.11987	2.8614	1.64014	7.45463	6.27355	13.49721	0.55554	0.3706	0.98708	22.84815	15.89827	2.87965	1.52617	5.41898	2.00515	1.58602	14.6146	8.58454	2.19398	11.00688	0.5479	2.61136	0.26047	2.74059	0.79429	0.56595	2.41542	1.45898	4.96926	5.24984	12.48683	1.60285	14.50413	3.71187	2.77025	4.54968	0.15924	3.38844	10.98735	9.72232	3.0532	11.70775	1.03793	6.26309	0.11483	4.09161	5.43941	1.89202	3.80671	0.68022	11.61355	3.59599	9.90862	2.14123	3.62553	11.64063	6.17813	1.2564	0.24443	12.17795	4.05967	1.04265	0.64718	16.21615	5.64799	6.50373	5.45537	2.0412	0.03361	12.81788	4.34514	5.25067	7.15784
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	7.72099	10.48796	3.41419	40.93298	14.42575	13.46236	2.78045	13.1696	10.85872	15.75741	23.03787	26.94401	28.03466	12.39671	19.63545	6.56144	18.27911	5.11293	7.38262	3.07767	55.91589	16.82928	7.50486	17.44711	30.75406	0.0657	8.35441	18.20538	6.865	18.72102	3.74126	13.51448	5.46961	9.39485	2.47049	2.98445	13.20208	24.29859	20.57509	0.48685	34.33149	14.37925	2.93787	14.68133	0.16866	18.21479	28.52083	3.08572	7.57194	7.37231	10.61429	17.23735	3.80079	5.33383	10.57023	22.95232	2.78317	8.31011	9.58963	10.52297	22.90708	9.12612	19.45222	19.82697	11.75938	2.68441	17.37968	3.84851	22.20055	8.34358	15.50397	24.17048	16.13589	82.89241	14.30099	54.27673	16.87948	38.07835	5.65876	13.35864	13.3398	21.08188	0.06129	11.46224	6.34465	15.60449	2.21875	11.93151	17.3631	17.46304	10.76555	14.10842	4.08607	8.67789	22.39956	16.5127	11.91807	0.43511	13.48	6.34949	27.16539	28.57336	34.19648	7.45097	7.42797	37.09897	7.09788	14.90012	24.11666	29.83768	10.5892	31.54633	16.40906	7.26157	6.62785	11.27362	29.54659	8.41704	17.96593	2.42996	5.57878	30.92393	13.70625	2.36503	14.83695	17.81192	1.72604	25.8042	8.02086	2.82394	52.45659	13.06015	4.38795	47.8104	14.09448	0.69336	41.82091	11.64467	48.90756	22.55486	6.20232	1.14519	15.46161	16.76345	18.40599	31.53165	17.86041	15.09456	20.9323	9.28063	11.84289	1.42516	2.3161	23.09962	16.96935	2.35116	24.21624	33.8672	12.72468	15.16213	9.75656	19.04763	14.45294	5.88806	25.80253	14.31701	29.58763	13.56119	2.32243	26.15638	33.65497	10.63476	11.14617	13.66128	5.69593	3.09296	23.20621	4.32606	30.69938	29.72834	32.41916	5.38807	26.67136	30.93309	36.73282	11.09477	11.43462	19.54722	4.92315	26.26994	23.54667	24.40366	22.02767	62.15984	31.32953	3.64485	17.35089	13.57652	20.8801
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	3.54775	2.43292	0.426	0.01327	0.32787	0	7.26758	0.00125	0.03891	0	1.01964	3.11634	0.03652	1.9494	3.0438	0	0	6.8477	0.00707	0.05967	3.70902	0.02832	0	0	0	27.59344	0	3.8206	3.31751	2.26478	1.08421	0.00973	0	0.00108	3.23447	0.22121	0	3.1118	3.99191	0	0.00437	0	1.4523	0	0.03689	0.0022	2.59977	0.53507	1.32935	0	1.25718	0	1.82892	0	0.00831	5.15279	0	0	0	0.90923	5.23655	0.00066	0	0	0	0.01668	0.0294	0	0.00611	0	3.95232	0	0.00486	0	0.00202	0	2.24319	4.16263	0	0	0	0	0	0	0.00643	1.51843	0	0	1.60793	0.31751	0.00189	0.58857	1.3582	0.46844	0.43265	0	0.90029	0	0.30054	4.403	0.00071	0.00432	0	2.60557	0.00247	1.25822	0	1.87316	0.01426	2.91975	1.57972	0	1.65322	6.24769	3.54313	1.90144	0.18218	5.38648	0	3.47812	3.59265	0	0.19648	1.44284	1.65043	0	0.00123	0	0.23324	0.02945	0	0.02565	0.30575	0.16249	0.15872	9.26743	0	0.49464	1.76005	0.02231	0	0.7427	4.79987	0.02486	2.42774	0.0223	1.03197	1.10187	0.22011	0	0	0.20767	4.72329	3.67828	2.18754	0.00149	0.01839	0.00112	0	0	8.87851	0.04637	0	0.25202	0	0.00194	0	0	0	3.33464	0	1.02396	0.00772	2.71586	0	8.66872	0	0.00211	0	0.00287	0.00219	0.0012	0	0	0	0	1.87134	0.00123	0.00927	2.79668	0.00256	0	0	0	0	0	0.00042	4e-04	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2.41392	2.4901	4.31171	0.022	0.17686	0.50126	0.00711	0.49597	2.9152	0.0304	0.76985	2.28962	5.74648	6.40481	0.00565	4.29236	0.43499	0.1971	0.26936	0.09865	0.42353	0.00388	3.06776	2.03641	1.68532	32.76771	0.02225	1.16437	0.29958	0.41653	0.33766	0.72581	3.26785	0.10109	0.03895	6.06197	0.31937	2.60794	0.68476	9.39385	7.10852	2.24079	0.072	9.72266	0.06293	4.04332	0.22132	0.06425	1.00548	0.40097	0.28217	1.39317	2.91509	0.09123	0.82334	0.30239	0.62784	0.50254	0.63027	0.69501	1.53242	0.26838	6.89096	0.1151	0.2738	0.95141	19.5376	1.36995	2.36079	1.8067	0.13179	0.91678	1.89873	0.06497	0.08315	0.05437	0.55863	1.44982	0.5819	1.41281	0.00391	2.79325	0.03249	1.16768	0.04712	7.6286	0.83019	3.5328	3.02036	0.02375	0.50129	0.5005	0.03455	0.56342	2.14525	0.00762	5.36174	22.48084	3.90251	1.96513	2.54825	1.08248	0.09514	0.75312	1.37363	5.44768	0.35307	0.16281	0.08763	2.24689	0.11414	1.60641	4.17831	0.4085	0.01227	1.0677	0.37174	0.17027	0.22419	0.91775	1.14125	1.50328	0.21963	0.26322	0.19966	2.43251	1.40869	0.52472	0.13052	0.75413	0.1178	1.25197	0.63843	13.55518	0.02402	0.2635	8.69504	0.76663	1.01375	0.81609	4.24731	0.03961	1.48396	0.43455	0.03536	0.59842	4.57562	0.0421	0.06794	0.04964	0.94325	0.67508	0	3.09664	0.29527	1.92724	4.13619	0.41377	5.69495	1.22036	0.50621	0.01661	0.1623	0.0769	0.1851	0.35736	0.53817	0.16697	0.0734	0.38625	2.29115	0.43553	1.79563	0.02015	0.02479	0.0174	0.28047	0.18396	1.61635	0.57817	18.58085	5.81244	0.12549	0.12642	4.64622	0.09637	1.05806	0.05171	1.13238	6.01724	0.07236	0.07495	0.12827	0.55854	0.1561	0.5657	0.04609	0.0154	0.15557
