#SampleID	SAMD00114731
k__Bacteria	98.77028
k__Archaea	1.22972
k__Bacteria|p__Firmicutes	69.66222
k__Bacteria|p__Bacteroidetes	23.31379
k__Bacteria|p__Actinobacteria	3.7586
k__Bacteria|p__Proteobacteria	2.03525
k__Archaea|p__Euryarchaeota	1.22972
k__Bacteria|p__Fusobacteria	0.00041
k__Bacteria|p__Firmicutes|c__Clostridia	57.68986
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	23.31379
k__Bacteria|p__Firmicutes|c__Negativicutes	11.39809
k__Bacteria|p__Actinobacteria|c__Actinobacteria	3.7586
k__Archaea|p__Euryarchaeota|c__Methanobacteria	1.22972
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.96638
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.87377
k__Bacteria|p__Firmicutes|c__Bacilli	0.4691
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.19509
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.10518
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.00041
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	57.68986
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	23.31379
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	11.39809
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	3.05985
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	1.22972
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.87377
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.68605
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.6657
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.4431
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.30068
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.19509
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.10518
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.026
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.01271
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.00041
