#SampleID	SAMD00114761
k__Bacteria	97.2553
k__Archaea	2.71396
k__Viruses	0.03074
k__Bacteria|p__Firmicutes	50.14884
k__Bacteria|p__Bacteroidetes	33.57003
k__Bacteria|p__Actinobacteria	11.47273
k__Archaea|p__Euryarchaeota	2.71396
k__Bacteria|p__Proteobacteria	1.15791
k__Bacteria|p__Synergistetes	0.79594
k__Bacteria|p__Fusobacteria	0.10896
k__Viruses|p__Viruses_noname	0.03074
k__Bacteria|p__Candidatus_Saccharibacteria	0.00089
k__Bacteria|p__Firmicutes|c__Clostridia	45.3503
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	33.57003
k__Bacteria|p__Actinobacteria|c__Actinobacteria	11.47273
k__Bacteria|p__Firmicutes|c__Negativicutes	2.74508
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2.71396
k__Bacteria|p__Firmicutes|c__Bacilli	1.11392
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.93954
k__Bacteria|p__Synergistetes|c__Synergistia	0.79594
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.52468
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.49303
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.1402
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.10896
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.03074
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.00089
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	45.3503
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	33.57003
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	6.37923
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	5.06994
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2.74508
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2.71396
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1.05616
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.93954
