#SampleID	SRR5898939
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	67.42576
k__Bacteria|p__Firmicutes	30.15086
k__Bacteria|p__Proteobacteria	1.99416
k__Bacteria|p__Actinobacteria	0.41938
k__Bacteria|p__Verrucomicrobia	0.00984
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	67.42576
k__Bacteria|p__Firmicutes|c__Clostridia	28.52581
k__Bacteria|p__Firmicutes|c__Negativicutes	1.43781
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1.00071
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.99346
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.41938
k__Bacteria|p__Firmicutes|c__Bacilli	0.10032
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.08692
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.00984
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	67.42576
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	28.52581
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1.43781
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1.00071
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.82325
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.36444
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.17021
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.10032
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.08692
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.05494
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.00984
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	27.26015
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	20.84228
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	12.80375
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	11.85333
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	11.4865
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	6.19201
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	4.99419
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	1.43781
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.82325
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.55613
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.44458
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.36444
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.32756
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.19179
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.17021
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.10032
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.08692
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.05494
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.00984
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	27.26015
