#SampleID	SRR5899011
k__Bacteria	99.64145
k__Archaea	0.35855
k__Bacteria|p__Bacteroidetes	50.87031
k__Bacteria|p__Firmicutes	44.52757
k__Bacteria|p__Actinobacteria	2.88028
k__Bacteria|p__Proteobacteria	1.36329
k__Archaea|p__Euryarchaeota	0.35855
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	50.87031
k__Bacteria|p__Firmicutes|c__Clostridia	23.56379
k__Bacteria|p__Firmicutes|c__Negativicutes	17.90646
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2.88028
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2.43791
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.0225
k__Bacteria|p__Firmicutes|c__Bacilli	0.61941
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.35855
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.34079
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	50.87031
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	23.56379
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	17.90646
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2.43791
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2.16978
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.73462
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.71049
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.61941
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.35855
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.34079
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.28788
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	50.68552
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	17.90646
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	14.62835
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	4.67068
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	3.31909
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2.43791
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2.16978
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.94567
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.73462
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.71049
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.40217
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.35855
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.28788
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.21724
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.19834
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.1568
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.14245
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.02799
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	50.68552
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera	17.25864
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	14.62835
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	3.55508
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	3.31909
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium	2.43791
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	2.16978
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	1.05511
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	0.73462
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	0.71049
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	0.64782
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	0.5326
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	0.40217
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.35855
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	0.28788
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	0.22021
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	0.21724
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname	0.19834
