#SampleID	SRR5898980
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	54.49978
k__Bacteria|p__Firmicutes	24.43106
k__Bacteria|p__Actinobacteria	16.01085
k__Bacteria|p__Verrucomicrobia	3.48816
k__Bacteria|p__Proteobacteria	1.57014
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	54.49978
k__Bacteria|p__Actinobacteria|c__Actinobacteria	16.01085
k__Bacteria|p__Firmicutes|c__Negativicutes	15.51406
k__Bacteria|p__Firmicutes|c__Clostridia	8.82487
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	3.48816
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.09023
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.36446
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.11545
k__Bacteria|p__Firmicutes|c__Bacilli	0.09213
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	54.49978
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	16.01085
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	15.51406
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	8.82487
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	3.48816
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	1.09023
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.36446
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.11545
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.09213
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	37.14011
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	16.01085
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	15.37767
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	9.01847
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	5.16822
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	4.67725
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	3.66395
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	3.48816
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2.44528
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1.21137
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	1.09023
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.36446
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	0.13639
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.09213
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	0.0711
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.04436
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	37.14011
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	16.01085
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	9.01847
