#SampleID	SRR5898936
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	50.98837
k__Bacteria|p__Firmicutes	43.15732
k__Bacteria|p__Proteobacteria	2.93558
k__Bacteria|p__Actinobacteria	2.89492
k__Bacteria|p__Verrucomicrobia	0.02381
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	50.98837
k__Bacteria|p__Firmicutes|c__Clostridia	26.2539
k__Bacteria|p__Firmicutes|c__Negativicutes	16.90342
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2.89492
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1.74402
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.19156
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.02381
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	50.98837
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	26.2539
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	16.90342
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2.89492
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1.74402
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.95434
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.23722
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.02381
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	43.4728
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	16.90342
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	11.1841
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	10.01282
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	5.05698
