#SampleID	SAMEA3541532
k__Bacteria	100.0
k__Bacteria|p__Firmicutes	56.62698
k__Bacteria|p__Bacteroidetes	20.34416
k__Bacteria|p__Proteobacteria	15.41525
k__Bacteria|p__Actinobacteria	7.60443
k__Bacteria|p__Candidatus_Saccharibacteria	0.00918
k__Bacteria|p__Firmicutes|c__Clostridia	40.05099
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	20.34416
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	13.57249
k__Bacteria|p__Firmicutes|c__Negativicutes	8.66677
k__Bacteria|p__Actinobacteria|c__Actinobacteria	7.60443
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	5.37583
k__Bacteria|p__Firmicutes|c__Bacilli	2.53338
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1.4555
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.38726
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.00918
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	40.05099
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	20.34416
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	13.57249
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	8.66677
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	6.04219
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	5.37583
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2.48495
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.54268
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	1.4555
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.38726
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.04843
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.01956
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.00918
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	20.09443
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	13.57249
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	9.73559
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	9.62895
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	8.70569
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	7.41473
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	6.04219
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	5.37583
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	5.27313
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	3.39365
