#SampleID	SAMEA3541554
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	50.01523
k__Bacteria|p__Firmicutes	47.9677
k__Bacteria|p__Proteobacteria	1.4109
k__Bacteria|p__Actinobacteria	0.60345
k__Bacteria|p__Deinococcus_Thermus	0.00272
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	50.01523
k__Bacteria|p__Firmicutes|c__Clostridia	44.15971
k__Bacteria|p__Firmicutes|c__Negativicutes	3.03592
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.74655
k__Bacteria|p__Firmicutes|c__Bacilli	0.63353
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.61449
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.60345
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.13853
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.04934
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci	0.00272
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.00053
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	50.01523
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	44.15971
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	3.03592
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.74655
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.62757
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.53979
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.47968
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.13853
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.11651
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.0747
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.04934
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.00726
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.00596
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales	0.00272
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.00053
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	46.47672
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	21.07153
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	13.41083
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	9.63306
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	3.53525
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	2.52836
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.74655
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.62077
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.53979
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	0.50755
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.47968
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.13853
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.11651
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.0747
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.03857
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.02871
