#SampleID	SAMEA3541586
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	48.60002
k__Bacteria|p__Firmicutes	30.55424
k__Bacteria|p__Proteobacteria	12.18427
k__Bacteria|p__Verrucomicrobia	7.57202
k__Bacteria|p__Fusobacteria	0.92104
k__Bacteria|p__Actinobacteria	0.16841
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	48.60002
k__Bacteria|p__Firmicutes|c__Clostridia	28.94316
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	10.4593
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	7.57202
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1.08105
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.92104
k__Bacteria|p__Firmicutes|c__Bacilli	0.75484
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.64392
k__Bacteria|p__Firmicutes|c__Negativicutes	0.4676
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.38865
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.16841
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	48.60002
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	28.94316
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	10.44946
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	7.57202
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	1.08105
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.92104
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.74612
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.64392
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.4676
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.38865
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.11601
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.05112
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.00984
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.00871
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.00128
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	39.48809
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	13.02356
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	10.44946
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	9.21206
