#SampleID	SAMEA3541589
k__Bacteria	95.08051
k__Viruses	4.91145
k__Archaea	0.00804
k__Bacteria|p__Firmicutes	45.94734
k__Bacteria|p__Bacteroidetes	37.64712
k__Bacteria|p__Proteobacteria	9.14835
k__Viruses|p__Viruses_noname	4.91145
k__Bacteria|p__Actinobacteria	2.23894
k__Bacteria|p__Fusobacteria	0.09875
k__Archaea|p__Euryarchaeota	0.00804
k__Bacteria|p__Firmicutes|c__Clostridia	41.2397
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	37.64712
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	8.54623
k__Viruses|p__Viruses_noname|c__Viruses_noname	4.91145
k__Bacteria|p__Firmicutes|c__Negativicutes	3.6216
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2.23894
k__Bacteria|p__Firmicutes|c__Bacilli	0.59228
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.56921
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.49376
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.09875
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.03291
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.00804
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	41.2397
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	37.64712
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	7.67894
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	4.91145
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	3.6216
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	1.59094
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.86729
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.59181
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.58786
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.56921
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.49376
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.09875
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.05619
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.02084
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0.01207
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.00804
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.00442
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	21.33169
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	17.4562
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	10.6746
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	10.594
