#SampleID	SAMEA3541585
k__Bacteria	99.98813
k__Viruses	0.01187
k__Bacteria|p__Bacteroidetes	80.91197
k__Bacteria|p__Firmicutes	13.76204
k__Bacteria|p__Proteobacteria	2.3378
k__Bacteria|p__Synergistetes	2.22774
k__Bacteria|p__Actinobacteria	0.69126
k__Bacteria|p__Fusobacteria	0.04371
k__Bacteria|p__Verrucomicrobia	0.01362
k__Viruses|p__Viruses_noname	0.01187
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	80.91197
k__Bacteria|p__Firmicutes|c__Clostridia	12.80805
k__Bacteria|p__Synergistetes|c__Synergistia	2.22774
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.26105
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.94012
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.69126
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.56845
k__Bacteria|p__Firmicutes|c__Bacilli	0.2062
k__Bacteria|p__Firmicutes|c__Negativicutes	0.17934
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.13624
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.04371
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.01362
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.01187
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.00039
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	80.91197
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	12.80805
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2.22774
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	1.19495
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.94012
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.61958
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.56845
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.17934
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.13624
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.13255
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.07365
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.07055
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.0661
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.04371
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.01362
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales	0.01187
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.00112
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.00039
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	27.69894
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	22.89181
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	21.88713
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	8.27096
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	5.18195
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	3.39491
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2.38165
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae	2.22774
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	1.19495
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.99777
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.94012
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.61958
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.56845
