#SampleID	SAMEA3541490
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	48.57462
k__Bacteria|p__Firmicutes	30.82314
k__Bacteria|p__Actinobacteria	19.59958
k__Bacteria|p__Proteobacteria	0.71037
k__Bacteria|p__Verrucomicrobia	0.27702
k__Bacteria|p__Candidatus_Saccharibacteria	0.0136
k__Bacteria|p__Fusobacteria	0.00167
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	48.57462
k__Bacteria|p__Firmicutes|c__Clostridia	29.85986
k__Bacteria|p__Actinobacteria|c__Actinobacteria	19.59958
k__Bacteria|p__Firmicutes|c__Negativicutes	0.73324
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.70944
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.27702
k__Bacteria|p__Firmicutes|c__Bacilli	0.2278
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.0136
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.00224
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.00167
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.00093
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	48.57462
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	29.85986
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	18.48735
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.11224
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.73324
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.58359
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.27702
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.20666
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.12585
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.02114
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.0136
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.00224
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.00167
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.00093
