#SampleID	SAMEA3541493
k__Bacteria	99.99446
k__Eukaryota	0.00554
k__Bacteria|p__Bacteroidetes	53.3466
k__Bacteria|p__Firmicutes	37.29099
k__Bacteria|p__Proteobacteria	5.47996
k__Bacteria|p__Actinobacteria	3.43072
k__Bacteria|p__Synergistetes	0.41511
k__Bacteria|p__Candidatus_Saccharibacteria	0.02289
k__Eukaryota|p__Ascomycota	0.00554
k__Bacteria|p__Fusobacteria	0.00542
k__Bacteria|p__Verrucomicrobia	0.00277
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	53.3466
k__Bacteria|p__Firmicutes|c__Clostridia	28.94715
k__Bacteria|p__Firmicutes|c__Negativicutes	5.4484
k__Bacteria|p__Actinobacteria|c__Actinobacteria	3.43072
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2.67542
k__Bacteria|p__Firmicutes|c__Bacilli	2.53733
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.68309
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1.12146
k__Bacteria|p__Synergistetes|c__Synergistia	0.41511
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.3581
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.02289
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0.00554
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.00542
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.00277
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	53.3466
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	28.94715
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	5.4484
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2.67542
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2.52333
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2.10448
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	1.41583
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.32215
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1.12146
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	0.41511
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.3581
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.26726
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.02289
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.014
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0.00554
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.00542
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.00409
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.00277
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	39.75688
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	19.87942
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	9.51778
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	5.03148
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	4.0717
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	3.46575
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	3.23587
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2.67542
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2.10448
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	1.94113
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	1.59163
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	1.41583
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	1.32215
