#SampleID	SAMEA3541584
k__Bacteria	99.9874
k__Archaea	0.0126
k__Bacteria|p__Bacteroidetes	63.29883
k__Bacteria|p__Firmicutes	29.06153
k__Bacteria|p__Proteobacteria	3.88332
k__Bacteria|p__Actinobacteria	2.99949
k__Bacteria|p__Fusobacteria	0.74282
k__Archaea|p__Euryarchaeota	0.0126
k__Bacteria|p__Candidatus_Saccharibacteria	0.00142
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	63.29883
k__Bacteria|p__Firmicutes|c__Clostridia	28.10003
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2.99949
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1.70567
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1.68651
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.74282
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.49114
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.47323
k__Bacteria|p__Firmicutes|c__Negativicutes	0.25499
k__Bacteria|p__Firmicutes|c__Bacilli	0.23328
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.0126
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.00142
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	63.29883
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	28.10003
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	1.89308
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1.70567
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	1.68651
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.10275
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.74282
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.47323
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.25499
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.24782
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.24332
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.22266
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.0126
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.01062
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.00365
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.00142
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	43.93966
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	19.79345
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	8.48292
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	7.92445
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	5.85017
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2.9518
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	1.89308
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	1.68651
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	1.66446
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	1.10275
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.92745
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	0.74282
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.64496
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.62334
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.47323
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.24782
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.24332
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.1721
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	0.15321
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	0.11978
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.10178
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.09373
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.04714
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.04396
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	0.0412
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.0126
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	0.01062
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.00661
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0.00365
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname	0.00142
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	43.93966
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	9.44668
