non_westernized	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
DNA_extraction_kit	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii	0.88489	0.34755	0.11949	0.17027	0.08219	0.13346	0	0.1561	0.29588	0.136	0.05214	0.39507	0.07502	0.35406	0.06201	0	0.19309	0.08327	0.23448	0.49316	0.11745	0.16571	0.02893	0.2373	0.13014	0.57151	0.09123	0.00821	0.50622	0.15792	0.30149	0.03829	1.84411	0.02671	0.05982	0.53557	0.04137	0.85317	0.65438	0.25944	0.43327	0.1397	3.31922	0.05753
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum	0.65032	0.25113	0.21269	0.43196	0.14328	0.1665	0.00233	0.29634	0.12841	0.14547	0.21252	0.45976	0.51219	0.51409	0.18691	0	0.51664	0.11642	0.07747	0.32956	0.2931	0.21856	0.1101	0.11783	0.36009	0.13542	0.06721	0.07439	0.61194	0.23749	0.1322	0.39291	1.01183	0.54898	0.27246	0.98799	0.44629	0.14204	0.7335	0.65808	0.30407	0.23658	0.72116	0.02974
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_biforme	0.49335	1.4695	0.27517	1.1941	2.83834	0.79043	0.35865	0.33514	0.09856	0.30564	0.14926	0.53123	0.44921	1.87498	0.43976	0	0	0.50521	0.45283	0.98523	5.42353	0.80792	0.69485	0	0.76304	0	0.49266	0	0.50739	1.03083	0	1.30662	4.52833	1.74927	2.41802	0.61573	0	0.57858	7.58267	1.77369	0.63771	0.37903	3.68887	0.20661
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus	0.27851	0.07629	0.25499	0.38047	0.27712	0.1161	0.00633	0.12608	0.05266	0.04794	0.00079	0.10196	0.2124	0.03703	0.76104	0	0.14939	0.19783	0.01552	0.00539	0.46338	0.08824	0.00158	0.08166	0.06024	0.06094	0.10246	0.01408	0.00166	0.08144	0.00425	0.49607	0.14455	0.5456	0.01703	0.03001	0.48801	0.01759	0.05573	0.00542	0.03745	0	0.13759	0.10405
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques	0.24615	1.49139	1.72902	0.51223	0.63459	0.92366	0.04039	0.27022	0.44444	8.7353	0.30933	0.99022	0.90458	0.47768	0.62949	0.44715	1.53364	0.93967	0.609	0.40884	0.80639	0.56618	0.5341	0.05832	0.53195	0.77933	1.17381	0.40781	0.03339	0.90946	0.24874	1.26203	3.1087	1.31357	3.54204	0.2467	0.66797	0.672	1.23349	0.54385	1.04203	0.42748	0.71806	0.25066
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_unclassified	0.21923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94212	0	0	0	0	0	0	0.02032	0	0	0	0	0	0.16621	0	0	0	0	0	0	0.05691	0	0	0	4.82315	0.03059	0	0	0.00787
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	0.21439	0.07865	0.41548	0.39221	0.21388	0.29146	0.07591	0.29303	0.19945	0.14786	0.06686	0.40687	0.12829	0.16704	0.56169	0	0.20328	0.38694	0.08131	0.24328	0.13557	0.07671	0.07564	0.07822	0.12294	0.04535	0.02573	0.06456	0.26094	0.14962	0.00535	0.12242	0.25414	0.21367	0.08414	0.21006	1.17086	0.64677	0.34289	0.97082	0.42101	0.15955	0.61133	0.01142
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA	0.21144	0.07429	0.07863	0.29456	0.00595	0.00574	0	0.00755	0.01042	0.03166	0.00856	0.05944	0.00136	0.03548	0	0	0.4185	0.02844	0.00653	0.03344	0.00457	0.01318	0.00282	0.01053	0.0716	0.07581	0.02244	0.06258	0	0.01117	0.00403	0.2607	0.64905	0.35493	1.84333	0.00957	0	0.12759	0.00842	0.00921	0.01486	0	0.05725	0.00663
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus	0.18623	0.07677	0.11321	0.08503	0.0671	0.09155	0.00436	0.12906	0.02398	0.01205	0.03667	0.13794	0.07867	0.02676	0.13634	0	0.04767	0.00604	0.03352	0.12467	0.15585	0.13853	0.02126	0.04416	0.08298	0.09464	0.11457	0.03573	0.04941	0.03418	0.01151	0.01696	0.19547	0	0.00735	0.25518	0	0.19252	0.27725	0.06042	0.09804	0.02749	0.29669	0.16232
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula	0.184	0.00919	0.07577	0.01698	0.20984	0.50795	0.0078	0.29773	0	0.55793	0.01869	0.02641	0.08668	0.02192	0.1441	0.01354	8.28372	0.03586	0.01816	0.00759	0.27054	0.04235	5.53393	0.11243	0.05879	0.04363	0.0302	0.10006	0.02908	0.05883	0.20956	0.10819	0.01733	0.13603	9.23378	0.07824	0.50867	0.09722	0.15865	4.02306	0.0351	0	0.00469	0.01099
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified	0.16647	0.10847	1.96011	0.19021	2.08958	2.45159	0.10065	0.31553	0.01604	3.33314	1.11098	0.0637	4.51412	0.07542	0.62233	0.29446	12.99924	1.49642	0.03903	0.40609	0.66599	0.63079	6.17754	1.17841	0.23268	0.09997	0.09692	1.55931	0.54274	0.07777	1.00643	3.08661	0.15415	3.05771	8.94275	0.81191	1.00159	0.42045	0.25459	5.13316	0.44909	0.01681	0.08973	0.21073
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	0.1651	0.30453	0.05894	0	0.60298	3.54626	12.34968	0.57344	2.17803	0.03933	0.27485	0.65654	0.21352	0	0.49983	8.84095	0.42498	0.13609	0.05217	0.15689	0.04798	0.84289	0	0.10018	0	0.78422	0.0116	1.4563	0.93136	1.29567	0.26399	0.06573	0.31072	0.02712	19.82059	0.86427	9.31116	0.89055	4.64585	1.57944	0.55407	0.25891	1.67429	0.64357
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified	0.15217	0	0.0212	0	0.07781	0.14903	1.46507	0	0.4367	0.28334	0.14867	2.16831	0.15987	0.55389	0.08309	3.7861	0	0	0	0	0.04736	0.1693	0.00854	0	0	0.49229	0.21707	1.13339	0.01237	0.13085	0.92824	0.14611	0.74357	0.11992	0.22955	0.42418	2.91388	0	0	0	0.05811	0.14271	0.20291	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	0.14069	0	0.12905	0.27841	0.42155	0.04428	0.06783	0.01084	0	0.12734	0.01785	0	0	0.00433	0.3142	0.07962	7.89043	0.02521	0.01843	0.47348	0.74837	1.45245	4.74831	0.02898	0.30193	0.1976	0.01617	0.56098	0.43724	0	1.47923	4.06676	0.27832	4.3235	2.45191	0.03882	0.38731	0.10877	0.40793	1.51205	0.01136	0	0	0.00541
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	0.13131	0.03039	0.02778	0.0345	0	0	0	0	0	0.018	0	0.01862	0	0.00119	0	0	0.03223	0.01378	0	0	0	0	0	0.0059	0.02189	0.01967	0.00377	0.03041	0	0	0	0.01183	0.86218	0.01217	0.14025	0.00168	0	0.06409	0	0.00412	0.01856	0	0.00247	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Shigella|s__Shigella_sonnei	0.11647	0.02653	0	0	0	0	0.00782	0	0	0	0.03028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02501	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_elsdenii	0.09946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	0.09405	0	0.14551	0.12227	0.1214	0.00155	0.09363	0.08889	0	0.08043	0	0	0	0	0.00419	0.07636	0.60719	0.02104	0	0.31397	0.2647	0.2138	2.34184	0.08278	0.057	0.1109	0.02476	0.17808	0.24968	0	0.2454	2.3353	0.05381	2.09509	0.91876	0.04977	0.09948	0	0.0684	0.76079	0.05602	0	0.05897	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis	0.08321	0	0.02357	0.03951	0.01075	0.16589	0.0131	0.00658	0	0.08246	0.19511	0	0.1551	0.01314	0.33213	0.03213	0.0593	0.01163	5e-04	0.07027	0.04524	0.03045	0	0.03419	0.00299	0	0	0.00245	0.00483	0	0.01507	0.05444	0	0.09453	0.00385	0	0.29934	0	0.02043	0.0811	0	0	0	0.02664
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis	0.06208	0.01241	0.32985	0.3953	0.07138	0.71521	0	0.19918	0.01372	0	0.01854	0.14664	0.52896	0.57818	0.00493	0	0	0.01378	0.00415	0.66698	0	0.0725	0.0287	0	0.21179	1.0309	0.0016	0.04286	0	0.0843	0	0.10539	3.80699	0.07417	0.00854	0.28664	0.01752	0.21908	0	0.00074	0.02835	0	0.10944	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira_unclassified	0.05616	0	0	0.20194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica	0.04605	0	0.15435	0.03804	0.04824	0.01976	0.02213	0.07282	0	0.08156	0.00156	7e-04	0.03157	0	0.0263	0.00563	4.3798	0.11309	0.00322	0.02104	0.02672	0.05009	0.38566	0.11295	0.01338	0.04562	0.08614	0.09204	0.02854	0	0.22705	0.21855	0.00873	0.23882	0.79243	0.02364	0.00897	0.05625	0.0223	1.04614	0.13202	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0.04328	0.5781	0	0.15361	0.01391	0.02415	0.71279	0.02044	0.0405	0.0267	0.05235	0	0.0322	0.27488	0.01169	0.43174	0.08477	0.18938	0.0047	0.07327	0.01497	0.03791	0.06542	0	0.60714	0.10285	0.01987	0	0	0	0.03939	0.06233	0.37426	0.04233	0.04834	0.00825	0.23584	0.26628	0.89728	0.03793	0.02117	0.02507	0	0.0282
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	0.0411	1.0499	0.00461	0.08138	0.04287	0.27376	8.12556	0.13252	0.07426	0.25334	1.4729	1.31936	0.44825	1.62287	0.02373	0.09563	1.71811	0.08171	0.35229	0.28942	0.0541	0.32163	0.02234	0.44281	3.39734	3.39839	0	0	0.02412	0.03875	1.72629	0.20094	1.31162	0.21377	5.69486	0.55072	0	9.1052	4.30975	0.40328	1.11009	0.08806	2.7811	4.89251
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_unclassified	0.02398	0	0	0	0.00223	0	0	0	0	0	0	0	0	0	0.01212	0	0	0	0	0	0.01773	0	0	0	0	0	0	0	0	0.00755	0	0	0	0	0	0	0	0	0	0	0.00079	0.00467	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Actinobacillus|s__Actinobacillus_unclassified	0.02343	0	0.01646	0	0.01368	0.11163	0	0	0	0.0599	0.03046	0	0.01201	0	0.07087	0	0.14776	0	0	0	0	0.01639	0.02736	0	0.02755	0.00313	0	0	0	0	0	0.18472	0	0.08658	0.11812	0.04026	0.11007	0	0	0.04905	0.01114	0	0	0.00699
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira_pilosicoli	0.0224	0	0	0	0	0	0	0	0	0	0	0	0	0.27337	0	0	0	0	0	0	0	0	0.59379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar	0.02225	0	0.11127	0.01594	0.22104	0.03458	0.03897	0.06626	0	0.23515	0.01256	0.00541	0.08105	0	0	0.00234	2.43331	0.08601	0	0.03463	0.04583	0.02029	1.19135	0.11811	0.04213	0.05448	0.03835	0.21131	0.18133	0	0.26011	0.23851	0.04581	0.17547	2.50807	0.06948	0.05813	0.0157	0.03152	0.53629	0.04431	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sputorum	0.02084	0.01843	0.02211	0	0	0.17082	0	0	0	0	0.02342	0	0	0	0.14212	0	0.03344	0	0	0	0	0	0	0	0.01433	0	0	0.00547	0	0	0	0.00757	0	0.00146	0.00125	0.00156	0.26969	0	0	0.00463	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_unclassified	0.0203	0	0.14872	0.01671	0	0	0	0	0	0.01765	0	0	0	0	0	0	0.05548	0	0	0	0	0	0.1116	0	0	0	0	0.00272	0	0	0.0193	0.0623	0	0.10206	0.02632	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus	0.02022	0	0.50108	0	0	0.00147	0	0.00403	0	0	0.01419	0.0014	0.03088	0.00209	0.08358	0	0	0.16609	0	0.45954	0.00943	0	0.00446	0.05602	0.1578	0.08987	0.00126	0.03206	0.61435	0.00957	0	0	0.0562	0	0.00367	0.35126	0	0	0.01182	0.02856	0.05656	0.01395	0.13631	0.08601
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_2_1_58FAA	0.01639	0	0	0	0	0	0	0.00023	0.03453	0.00311	0.00363	0.00376	0.0688	0	0	2.54231	0.03413	0	0	0.00335	0.00161	0.04367	0.00553	0	0	0.0708	0	0	0.00933	0	0	0.00255	0.7365	0	0.26188	0	0.20914	0.00238	0.01422	0.05677	0.04845	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	0.01034	0	0.06136	0.02361	0.01835	0.00517	0.01052	0	0	0.01308	0.00156	0	0	0	0.07351	0.00673	0.08929	0	0	0.01364	0.00164	0	0.04785	0	0	0	0	0.01127	0.01779	0	0.03768	0.29155	0.03342	0.35178	0.17661	0.01751	0.0117	0	0.01186	0	0	0	0	0.00013
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_unclassified	0.00966	0	0.00679	0	0	0.00395	0	0	0	0	0	0	0	0	0	0	0.01236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02472	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	0.00863	0.29603	0.07506	0.12268	0	0	0.01588	0.19083	0.08219	0.47642	0.28187	1.30286	0.87687	1.26063	0.01556	0	0	0.36819	0.13866	1.25638	0	0.11177	0.03022	0.15558	1.03293	0.32426	0.02458	0.61877	0.00521	0	2.34818	0.20438	0.2842	0.21476	0.00291	0.05457	0	1.94908	0.06559	0.14311	0.00241	0	0.30571	0.10559
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii	0.00778	0.01623	0	0	0	0	0.01282	0	0	0.00844	0.09211	0.36163	0	0.00782	0	1.56535	0	0.01979	0	0	0	0.01701	0	0.00447	0.2887	1.42425	0.0612	0.20758	0	0	0.36756	0	0	0	0	0	0	0	0	0	0	0	0	0.06791
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_unclassified	0.00611	0	0.01534	0.06894	0.00326	0.0127	0	0.02384	0.02261	0.00571	0.04145	0.04152	0.04884	0.02018	0.04895	0	0	0.0442	0.04677	0.02912	0.05453	0.01539	0.00277	0.01865	0.01169	0.01887	0.0096	0.00795	0.00248	0.03634	0	0	0.01948	0	0	0.0135	0	0.00121	0.02393	0	0.00387	0.01548	0.03298	0.0037
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	0.00289	0.36842	0	0	0.00112	0.06293	1.65683	0.03912	0.23222	0	0	0.12723	0.08905	0	0	0.02928	0	0.05835	0.05219	0.11632	0	0.05147	0.00326	0.09727	0.12831	0	1.13563	0	0	0	0.46275	0.01314	1.57844	0.01233	0	0.00913	0	0	0.02148	0.04771	0.10111	0.00847	0	1.4497
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii	0.00247	0	0	0	0.04394	0	0.17086	0	0	0	0.38501	0.0099	0.78428	0	0	0	0	0.07459	0	0	0	0	0	0.02759	0.64822	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23578	0	0	0	0	3.52924
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis_oralis_pneumoniae	0.00126	0.00322	0.01743	0.02283	0.05111	0.28134	0.10061	0.01655	0	0.1357	0.04802	0	0.00203	0.01167	0.09726	0.01908	0.03479	0	0	0	0	0.04717	0	0.05452	0.00912	0.02597	0.00516	0.01203	0.00604	0	0	0.10154	0	0.10839	0.10249	0.00577	0	0	0	0	0	0	0.0023	0.00056
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila	8e-04	0	0	0	0.00092	0	0	0	0	0	0.1284	4.27496	0.81251	1.96576	0	0.4001	0	0	0.23393	3.74108	0	0.00328	0.03873	0.22398	0.43834	0.30647	0.05074	2.55338	0	0.07139	0.00177	0	0	0	1.54563	0.04321	0	0	0	0	0.04454	0	0	0.08565
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri|t__GCF_000157935	29.75329	37.50465	35.7592	22.15647	35.36611	30.62225	0.36584	10.96791	50.33814	42.79173	0.79131	3.12669	8.94438	0.96025	15.06727	0.00157	3.25302	51.68834	8.74099	40.96456	10.09182	17.96509	43.59134	49.78592	5.82274	0.00018	30.86331	23.91095	51.21317	18.12193	0	22.66404	14.73885	16.90278	10.90832	36.95706	13.46209	7.83465	0.00328	14.52136	21.42955	13.51298	1.30291	0.2188
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus|t__GCF_000156015	12.30136	1.29818	5.15084	0	1.02612	3.077	0	47.42312	0.92464	0.15078	23.04379	7.17825	0	19.54272	0.27825	0	0.18339	0	18.43346	5.11462	36.80929	1.85474	0.00648	0	2.82212	5.99481	2.00041	0	0.00656	24.18679	1.01787	0	0.0773	0	0	11.09701	0	0	0	0	11.85975	7.01751	0	0.02892
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea|t__GCF_000235885	11.32442	16.95229	2.47958	13.58969	23.04186	13.3422	0.24712	5.92442	7.72256	7.00732	0.00031	0	0	0	13.70488	0	0	0.03389	0.05168	0.02582	1.66309	5.53718	7.89854	0	0.0328	0	5.00859	0	4.42146	4.98297	0.00714	20.0925	0.57734	20.04613	0	9.09552	0.24206	0	0	0	3.28437	12.95826	0.46974	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale|t__Eubacterium_rectale_unclassified	8.99282	0.08569	15.54353	13.90108	0.50549	1.24802	0.00717	1.21149	3.89496	8.30697	1.98817	0.34933	1.66689	0.88138	3.40783	0	7.10134	2.84815	18.16359	6.62233	0.24499	2.97477	1.99652	0	16.3522	29.59209	2.92302	29.16537	2.68904	3.92589	10.05998	17.93835	5.96787	16.61343	0	0.00495	14.88691	7.32978	12.14977	11.639	32.86584	19.12784	9.92409	21.08719
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus|t__GCF_000154425	5.21966	0	0.0367	0.04297	0.07843	0.01406	0	0.06568	0.04514	0	0.05266	0	0.06423	0.04721	2.19822	0	0	0	0.48966	0.48727	0.10373	0.04978	0	0	0.23258	0.01704	0	0	0.19314	0	0.01885	0	1.4171	0	0	0	0	0	0	0.00041	0.30581	0	0.24708	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__Faecalibacterium_prausnitzii_unclassified	5.03255	7.42433	6.32559	12.17055	3.7254	8.01505	0.22931	6.10807	17.83909	8.0615	9.05389	5.22319	38.77349	22.36189	16.72525	2.19755	6.83876	5.98337	34.23041	10.19519	13.01631	8.73685	9.81423	25.65029	8.50714	12.36889	34.06563	2.27881	6.85932	20.87114	2.57711	7.47301	14.73028	13.05624	3.82834	4.50964	0	3.41316	5.80101	5.7213	5.03306	15.60753	9.45147	0.62833
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Bacteroides_pectinophilus|t__GCF_000155855	3.70883	0	0	0	0	0.01105	0	0.79043	0.91188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89579	0	0	0	0.9806	0	0.02024	0	0.01656	0	0.05368	0	0	0	0	0.00447	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans|t__GCF_000174195	2.69917	2.03499	8.57108	0.06677	2.4933	5.48066	0	0.16379	0.37219	1.68712	0.33966	0.41738	2.24824	0.98289	0.21869	0	8.18238	1.7792	0.19761	5.31144	2.30777	3.214	0.49912	0.62821	2.37342	3.94576	2.04301	1.34036	0.78611	0.03548	0	3.47771	1.60531	3.78967	0.41354	2.92725	0.38265	0.53587	0.61554	1.11128	2.24689	0.56464	0.06315	0.02643
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii|t__GCF_000209875	2.095	2.24736	1.6629	4.8305	1.9374	0.02052	0.01406	0.93635	0.70876	3.9176	6.16836	5.16416	2.49285	0.00467	1.01405	5.27244	0	0.90925	0.16396	0.06043	4.68297	18.72226	3.28283	0	0.0192	1.74596	0.01361	0.58935	0	0.04026	0.0859	0.01769	1.52119	0.01974	0	1.30875	0	0	0	0.00719	0.00245	0.88262	7.25722	0.00818
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_succinatutens|t__GCF_000188175	1.89495	0.17111	1.08351	2.6359	3.46543	2.64836	0	0	0.00487	0	0.03081	0	0.13839	0.04346	12.65202	0	0	7.87175	0	0.27931	0	20.59272	1.0709	1.34072	0	0	7.56865	0	0.00146	7.16664	7.07407	1.72502	0	1.93204	0.03159	0	0	0	4.61904	0.00895	0.31937	5.98288	0.94435	0.91532
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium|s__Catenibacterium_mitsuokai|t__GCF_000173795	1.7828	0	0.6324	0.00178	0.25447	0.54927	0	0.62074	0.59848	0.21862	0.25519	0	2.13141	0	0.82573	0	0	0	0	0.20247	0.95556	0.77821	0.17847	0	4.51365	0	0	0	2.25302	1.0259	0	0	5.08713	0	0	2.77191	0	0	0	2.33765	0.86562	0.20138	7.19407	0.04314
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Mitsuokella|s__Mitsuokella_multacida|t__GCF_000155955	1.5156	0	0	0	0.13849	0.04013	0	0	0.04176	0	0	0	0	0	0	0.95108	0	0	0	0.93062	0	0	0	0.00869	0	0	0.06263	0	3.33709	0.00483	0.03199	0	0	0	0	0.23246	0	0	0	5.4131	0.12388	0.08911	0.157	0.11782
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena|t__GCF_000154065	1.38396	0.08838	0.85829	0.07781	0.44568	0.21973	0.00821	0.23529	0.54665	0.20981	0.1126	0.62414	0.33439	0.13189	0.07597	0.18936	0.2351	0.12453	0.12592	0.1822	0.44832	0.43798	0.1485	0.07638	0.24557	0.06775	0.16654	0.02597	0.41272	0.37679	0.09715	0.29223	1.48368	0.32994	0.34403	0.77546	10.01929	0.83274	0.83823	0.94471	0.3951	0.21305	1.95055	0.12597
