	CM_A01_I1_18	CM_A01_M0_18	CM_A04_I1_18	CM_A04_M0_18	CM_A06_I1_18	CM_A06_M0_18	CM_D02_I1_18	CM_D02_M0_18	CM_D03_I12_18	CM_D03_M0_18	CM_D04_I1_18	CM_D04_M0_18	CM_D05_I1_18	CM_D05_M0_18	CM_D06_I1_18	CM_D06_M0_18	CM_D07_I1_18	CM_D07_M0_18	CM_D08_I1_18	CM_D08_M0_18	CM_D09_I1_18	CM_D09_M0_18	CM_D10_I1_18	CM_D10_M0_18	CM_D11_I1_18	CM_D11_M0_18	CM_D13_I1_18	CM_D13_M0_18	CM_D15_I1_18	CM_D15_M0_18	CM_D21_I1_18	CM_D21_M0_18	CM_D21B_I12_18	CM_D24_I1_18	CM_D24_M0_18	CM_D26_M0_18	CM_D26A_I13_18	CM_D26AB_I1_18	CM_D26K_I12_18	CM_D33_I1_18	CM_D33_M0_18	CM_D39_I1_18	CM_D39_M0_18	CM_D40_I1_18	CM_D40_M0_18	CM_D43_I1_18	CM_D43_M0_18	CM_D48_M0_18	CM_D50_I1_18	CM_D50_M0_18
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	0.63544	0.00121	0.01127	0	0	0	0	0	0	0.0256	0.04131	0.02417	0.72962	2.87653	0.01054	0.00232	8.93071	0	0.05324	0.02262	0	0	0.5011	0	1.01011	0	0.05866	0.30957	0	0	0.2315	0.319	0	0	0.00426	0.65078	0	0.08784	0	0	0.12535	1.09299	0	0.36517	0.00051	0	0.15239	0.56623	0	0.09699
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	0.62536	0.07308	0.05538	0.12449	0.11935	0.12272	0.17934	0.50844	0.43419	0.37215	0.31467	0.26814	0.97561	0.20951	0.01917	0.04217	0.23259	0.05988	0.03238	0.07112	0.03807	0.07312	0.39675	0.06323	2.28761	0.07722	0.00787	0.03143	0.05401	0.0873	0.04385	0.04565	0	0.07858	0.00811	0.12875	0.01869	0.06524	0	0	0.15639	0.02582	0.16387	0.1916	0.15852	0.00227	0.16587	0.09343	0.03486	0.13239
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum	0.61137	0.10019	0	0.03974	0.9712	1.66349	0	0.02097	0.25875	3.90564	0	0.19922	0.02859	0.04961	0.00178	0.00207	0.75484	0.13834	1.52536	0.46553	0.51738	0.04583	0.27447	1.37569	0.05004	0.23497	0.00588	0	0.31818	0.02945	0.66222	0.70406	0	0.22688	0.01369	0.0958	0	0.20465	0	0	0.2921	0	2.02964	0	0.20615	0.05242	0	0.10608	0	0.22311
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA	0.56849	0	0.00066	0.0099	0.02675	0.02003	0.51574	0.00297	0.13482	0.0418	0.44018	0	0.08384	0.00698	0.09528	0.09873	0.02257	0.15332	0.02005	0.02074	0.21252	0	2.60827	0.01253	0.00703	0	0.00307	0.01929	0.02791	0.01689	0.00088	0.00033	0	0.04127	0.01227	0.02012	0.04597	0.03576	0	0	0.1103	0.00341	0.04183	0	0.00592	0	0.02278	0.04772	0	0.07154
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_unclassified	0.53481	0.17401	0	0.00751	0.03193	0.02346	0.00729	0.06575	0.00825	0.08873	0.00199	0.10749	0.003	0.04501	0.00759	0.01042	0.01463	0.02134	0.01072	0.02168	0.0135	0.01217	0.02371	0.07501	0.02813	0.02168	0	0.00946	0.01038	0.08189	0.0509	0.03737	0	0.0494	0.00922	0.01789	0.00256	0.01264	0	0	0.0429	0	0.06783	0	0.05612	0.03845	0	0.01377	0	0.02581
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve	0.49778	0	0.00247	0	0	0	0	0	0	0	0.00042	0	0	0	0	0.00073	1.43998	0	0.10309	0	0	0	0.0161	0	0.00184	0	0.00203	0	0	0	0	0	0.11595	0	0	0	0	0	0.76716	0.95686	0	0.61775	0	6.65485	0	0.00833	0.66501	0	31.53005	0.00034
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii	0.41616	0	0	0	0	0	0	0	0	0	0	0	0.24313	0.19937	0	0	0	0	0	0	0	0	0	0	4.93353	0	0.00502	0.17946	0	0	0.10444	0.10963	0	0	0	0.04017	0.02115	0	0	0	0	0	0	0	0	0	0	0.15485	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena	0.40539	0.41679	0	0.52166	0.2733	0.30054	0.24859	0.95562	0.85322	1.62854	0.73946	0.41168	0.59596	0.27992	0.07058	0.5829	0.11397	0.66933	0.87988	0.73327	0.17707	0.44266	0.18645	0.66876	0.44411	0.48326	0.02127	0.03614	1.46631	0.74121	0.15788	0.16759	0	2.48205	0.35947	0.08983	0.63328	0.30089	0	0	0.71733	0.14979	0.63241	0	0.71349	0.16316	0.0681	1.09497	0.00318	0.4086
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_unclassified	0.35405	0	0	0	0	0	0	0	0	0	1.72227	0	0	0	0.03081	0	0	0	0	0.00989	0	0	0.27928	0	0	0	0	0.00816	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0.06376	0	0.00163	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	0.28478	0.03291	0.0086	0.22864	0.03098	0.06392	0.00325	0.20405	0.00737	0.28898	0.00501	0.18373	0.05671	0.10113	0.07601	0.09162	0	0.03143	0.04328	0	0.03636	0.24372	0.00761	0.03537	0.00803	0.01491	0.71538	0.06724	0.14987	0.20497	0.02035	0.024	0.0074	0.06606	0.00724	0.02513	0.11304	0.03045	0.0279	0.23621	0.09318	0.01748	0.00112	0.04272	0.19371	0.02284	0.08979	0.06432	0.07144	0.10884
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae	0.27279	0	0.00438	0.40219	0	0	0	0	0	0	0.23864	0	0.68855	0.42881	0	0.00124	3.26843	0	1.43782	0.04231	0	0	1.42453	0	5.55266	0	0.02699	0.59112	0	0	0.76554	0.96113	0	0	0	1.03213	0.08685	0.01016	0.34769	0	0.36749	1.84744	0	0	0	0	0.21731	0.11345	2.22244	0.02442
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Clostridium_bartlettii	0.25507	0.15759	0.00151	0.02226	0.02128	0.01183	0.13033	0.298	0.73049	0.11934	0.02092	0.002	0	0.00687	0.02322	0.1382	0.03934	0.32552	0.06911	0.01744	0.04014	0.06742	0.15188	0.0112	0.04968	0.39429	0.01924	0	0.14951	0.22313	0	0	0	0.06267	0	0.03585	0.00845	0	0	0	0.33482	0.0092	0.85743	0.03212	0.11138	0.00639	0.0906	0	0.22306	0.12948
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger	0.19187	2.86545	0	0	0.17215	0.12746	0	0	0.11207	0.51747	0	0	0	0	0	0.41583	0.4014	0	0.37386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10973	0	0	0	0	0	0	0	0	0	0	0	0.11658	0	0.07155	0.18552	0.17381
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis	0.17238	0.08125	0	0.03085	0.13293	0.30084	0.01503	0.21183	0.14326	0.18825	0	0.06758	0.0127	1.84774	0.00123	0.04712	0.42361	0.01158	0.06041	0.13675	0.04586	0	0	0.88188	3.61643	0.07048	0.00352	0	0.89972	0.00254	0.87515	1.0945	0	0.1376	0.28294	0.00281	0.06499	0.22587	0	0	0.06268	0.01211	0.01929	0	0.53591	0.28673	0.01007	0.23343	0.04384	0.79243
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus	0.15487	0.0879	0	0.0096	0.09615	0.10939	0.12157	0.01042	0.15149	0.05752	0.13005	0.04797	4.42934	0.13969	0.00119	0.12322	0	0.10157	0.04523	0.04395	0.20809	0.01566	0.0086	0.018	0.13461	0.00072	0.00038	0.00183	0.08463	0.01808	0.02646	0.02732	0	0.07014	0.01525	0.03077	0.01771	0.05802	0	0	0.0383	0	0.03226	0	0.02824	0	0	0.04685	0	0.11542
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius	0.12382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11869	0	3e-04	0	0	0	0	0	0	0	0	0.06943	0	0	0	0	0	0.28793	0	0	0	0	0	0.12865	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus	0.11723	0.69235	0	0.07689	0.21609	0.13342	0.19213	0.64185	0.24415	2.82893	0.04793	0.50739	2.39537	0.48058	0.0233	0.5219	0.2239	0.51663	0.13048	0.40769	0.26849	0.11899	0.2596	0.20127	0.39501	0.09511	0.01193	0.06731	0.42254	0.15831	0.10236	0.13153	0	0.67426	0.06806	0.31015	0.12874	0.15874	0	0	1.28288	0.00478	0.58728	0	0.99452	0.01316	0	0.75904	0.00325	1.13616
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii	0.11323	0	4e-05	0	0	0	0	0	0	0	0	0	0.03835	0.0372	0	0	1.85081	0	0.03817	0	0.04216	0	3.24384	0	0.30062	0	0.00439	0	0	0	0.07512	0.10424	0	0	0	0.01969	0.0064	0	0	0	0	0	0	0	0	0	0	0.23865	0	0.00158
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis	0.09723	0	0	0.00673	0	0	0	0	0	0	0	0	0.51728	0.04303	0.01122	0	4.28193	0	0.00889	0.0864	0	0	0.23257	0	0	0	0.01518	2.8861	0	0	1.13249	1.64624	0	0	0	0.03066	0.01825	0.00112	0	0	0.08579	0	0	0	0	0	0	1.64649	0.00466	0.00465
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Flavonifractor|s__Flavonifractor_plautii	0.07478	0	0.00035	0	0	0	0	0	0	0	0.00118	0	0.01567	0	0	0	0.01002	0	0	0	0	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06414	0	0.00474	0	0	0	0	0.00571	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Adenoviridae|g__Mastadenovirus|s__Human_adenovirus_F	0.07447	0.21008	88.2421	0.08063	0	0.06611	0.03905	0.15539	0.15821	0	0	0	0	0	0	0.14307	0	0	0	0	0	0	0	0	0	0	0.0283	0	0	0	0	0	0	0	0	0	0.02181	0	0	0	0	0	0	0	0	0	0	0	0.03136	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	0.06153	0	0.00068	0.00769	0.0132	0.00592	0.13939	0	0.17255	0.05321	0.93633	0	0.02309	0	0.04535	0.07081	0.00862	0.09495	0	0.02248	0.1287	0	6.19883	0	0.00668	0	9e-05	0	0.01825	0.01394	0	0	0	0.02367	0	0.00623	0.01982	0.00675	0	0	0.01879	0.00265	0.12922	0	0.00783	0	0.01011	0.03216	0	0.04499
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_intestini	0.05882	0.01368	0	0.07819	0	0	0	0	0	0	0	0	0	0	0	0.01475	0	0.00601	0	0.00196	0	0	0	0.00919	0	0	0	0	0.00083	0.01397	0	0	0	0	0	0	0	0	0	0	0	0.00421	0	0.00479	0.03278	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.05105	0	0.00488	0.09558	0	0.00035	0	1.37333	0	0	0.00616	0	0.00613	0	0.00184	0.0029	0.54536	0	0.432	0.81464	0	0.00606	0.37594	0	1.97097	0.27875	0.1096	0.00731	0.00405	0.44992	1.23267	0.95846	81.27124	0.0048	0.00348	1.62897	0.50624	0.01133	87.54307	7.78793	3.04622	1.36578	0.01702	10.71257	0.0185	0.07585	0.06688	0.00545	1.73381	0.07413
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	0.04471	0.15693	0	0.10611	0.37342	0.72748	0.35143	0	0	0	0	0	0.06791	0.20398	0	0	0	0.00718	0.21305	0.00784	1.69801	0.36518	0	0	0.2568	0.02533	0.00497	0	0.02929	0	0.01552	0.02049	0	0.147	1.78579	0	0.02457	0.09106	0	0	0	0	0	0	0.01515	0.88192	0	0.11365	0	0.01609
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_unclassified	0.04103	0.05078	0.001	0.00213	0.00694	0	0.01562	0.10029	0.02146	0.04822	0.00157	0	0.00702	0.0066	0.00961	0.04466	0	0	0.02783	0.00802	0.00542	0.05609	0.00411	0	0.00581	0.00362	0.00819	0	0.05001	0.00974	0.00254	0.02778	0.01389	0.04098	0.00407	0.02401	0.03087	0.01754	0	0.05629	0.02625	0.00079	0.13507	0.01494	0.02951	0.00641	0.03697	0.04509	0.00747	0.03615
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	0.03487	0	0.00787	0	0	0	0	0	0	0.036	0.00507	0	1.06139	0.50233	0	0	0.14824	0	0.06093	0.00449	0	0	0.05815	0	0.16773	0	0.03187	0.61928	0	0	0.06516	0.05639	0	0	0	0.08019	0.0192	0.1111	0.37222	0	0.14257	0.38361	0	3.53286	0	0.00804	0.00542	0.19967	7e-05	0.2402
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_garvieae	0.03439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_nexile	0.02736	0	0	0	0	0	0	0	0	0	0	0	0.00188	0.00194	0	0	0	0	0	0	0	0	0	0	0.00725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08187	0	0.24379	0	0	0	0	0.04097	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA	0.02706	0.0622	0	0.05371	0	0	0.98852	0	0	0.05662	0.78524	0	0	0.01908	0	0	0	0	0	0	0.56168	0.09174	0.62316	0	0.10216	0.02204	0	0.19592	0	0	0	0.02586	0	0	0.02746	0	0	0	0	0	0	0	0	0	0	0	0.16039	0.47132	0.03555	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_unclassified	0.02513	0.07769	0	0.04627	0.02726	0.01274	0	0.2046	0.0881	0.11295	0.00486	0.1246	0	0.01066	0	0.14579	0.00728	0.02653	0.01672	0.06634	0	0.02276	0.00064	0.0917	0	0.08646	0	0	0.02192	0.0582	0.03632	0.01385	0	0.07259	0	0	0	0	0	0	0	0.06976	0.12737	0.04581	0.01794	0.00288	0.00128	0	0	0.02027
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_muris	0.02063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_4_56FAA	0.02014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_unclassified	0.01991	0.02676	0	0.01699	0.02709	0	0	0.0194	0	0	0	0.03555	0	0.0076	0	0.01477	0.01074	0.02318	0	0.0144	0	0	0.02401	0.06189	0	0.00982	0	0.01911	0	0	0.01508	0	0	0.04342	0	0.08266	0	0	0	0	0	0.02097	0	0	0	0.01275	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Bacteroides_pectinophilus	0.01964	0	0	0.01928	0.13473	0.81538	0	0.11147	0.3029	0	0	0	0.39038	0.07085	0.01428	1.90772	0.06901	0.04938	0.08933	3.1557	0	0.00403	0	1.72497	0	0.01315	0.00522	0	1.13801	0.1568	0.01811	0.02718	0	0.1057	0	0.04038	0.17469	0.05065	0	0	0.0892	0	0.01768	0	0.5134	0.17588	0	0	0	3.30003
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum	0.0183	0	0	0.02409	0	0.00246	0.22227	0	0.07341	0.02402	0	0	0.22254	0.01976	0	0	0	0.14775	0	0.01042	0	0.01974	0	0.03005	0	0.00708	0.00421	0.00648	0.00171	0.01413	0.00789	0.00468	0	0.03422	0	0.05858	0.02347	0.03091	0	0	0.13327	0	0	0	0	0	0	0.02806	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans	0.018	0	0	0	0	0.02166	0	0	0	0	0	0.00686	0	0	0	0	0	0.02214	0	0	0	0	0	0	0.01384	0	0.00042	0	0	0	0.01361	0.0063	0	0	0.01703	0	0	0	0	0	0	0	0.00563	0	0	0.0238	0	0	0.00156	0.03904
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Micrococcus|s__Micrococcus_luteus	0.01679	0.01288	0	0	0	0	0.00305	0	0.00342	0	0	0	0	0	0	0.0895	0	0	0	0	0	0.02261	0	0	0	0	0.00585	0	0	0	0	0.00457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02655	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris	0.01148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00197	0.21345	0	0	0.03846	0.07376	0	0	0	0.15368	0	0	0	0	0.00311	0.23796	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_unclassified	0.01076	0	0	0	0	0	0	0	0	0	0.00617	0	0	0	0	0	0	0	0.10905	0	0	0	0	0	0	0	0.00496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04375	0.00629	0	0	0.01506
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis	0.01045	0	0	0	0	0	0	0	0	0	0.00708	0	0	0	0	0	0.03799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	0.00935	0	0.01781	0	0	0	0	0	0	0	0.01584	0	0.34323	0.25229	0.00086	0	0	0	0.63241	0	0.00084	0	0.099	0	0	0	0.00926	0.37171	0	0	0.00996	0.01047	0	0	0	0.0334	0.00315	0.00334	0.02886	0	0	0.13886	0	0	0	0	0.19547	0.00704	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis	0.00932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28466	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_kroppenstedtii	0.00862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_1_57FAA	0.00842	0	0	0.00523	0	0	0	0.02037	0	0.01134	0	0	0	0	0	0	0.0596	0	0.01156	0	0	0.00577	0	0	0.01288	0.00883	0.0316	0	0	0	0	0	0	0	0	0	0.03105	0	0	0	0.04827	0.0022	0	0	0	0	0.01034	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	0.00732	0	0.00081	0	0	0	0	0	0	0	0	0	0.00235	0.20299	0	0	0.04082	0	0.03456	0	0	0	0.0029	0	0.02634	0	0.01428	0.10926	0	0	0.00075	0.00299	0	0	0	0	0	0	0	0	0.01612	0.02353	0	0.48656	0	0	0	0.00114	0	0.34028
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_elsdenii	0.00491	0	0.07174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22069	0.23444	0	0.05546	0	0.27481	0	1.42836	0.00286	0	0	0.32688	0	0	0	0	0	0	0	0	0	0	0	0.15201	0	2.37275	0.03413	0.07968	0.09485	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_2_2_44A	0.00423	0	0.00158	0	0	0	0	0	0	0	0.00876	0	0	0	0	0	0	0	0	0	0	0	0.0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01699	0	0.00177	0	0.09259	0	0	0	0	0.00083	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_unclassified	0.00348	0	0	0	0.00868	0	0	0	0.05177	0.01356	0.06535	0	0.00847	0.20273	0	0	0.4482	0.1778	0	0	0.01664	0	0.43446	0.01698	1.84347	0	0.00355	0.12968	0	0	0.00389	0.00682	0	0.02117	0.25021	0.22991	0.08992	0.00797	0	0	0	0.03267	0	0	0	0.00292	0	0	0.09537	0.02505
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0.00304	0	0.00575	0	0	0	0	0	0	0.03971	0	0	0.09878	0.07599	0	0	0	0	0.11724	0.3512	0	0	0.31057	0.00557	0.09964	0	0.00722	0.3668	0	0	0.076	0.11106	0	0	0.01045	0.04369	0.00871	0.00294	0.03046	0	0.06344	0.15081	0	0.56354	0.01839	0.00352	0.00645	0.02592	0	0.11979
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	0.00289	0	0.00026	0	0	0	0.79322	0	0.04066	0	0	0	0.03237	0	0.03136	0	0	0	0	0	0.0053	0.21081	0	0	0.58643	0	1.52775	0.02607	0.47015	0	0	0	0.13622	0.05799	0.00128	0.00071	0.1874	0.03095	0	0.04591	0	0.00108	0	0.00044	0	0	0.00505	1.09181	0.0018	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	0.00239	0	0.00581	0	0	0	0.22803	0	0	0	0	0	0.00062	0	0	0	0	0	0	0	0.00436	0.05479	0	0	0.05037	0	0.1381	0	0.22743	0	0	0	0.00055	0.0033	0	0	0	0.00596	0.03484	0.14876	0	0	0	0	0	0	0	0.33244	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_pickettii	0.00222	0	0	0	0	0	0	0.02302	0	0.01916	0	0	0	0.00134	0	0.00208	0	0	0.00436	0.00637	0	0.01232	0	0	0	0	0	0	0.01113	0.01374	0	0	0.00228	0	0	0	0	0	0	0	0	0	0.01227	0	0	0	0	0.00431	0.00099	0.00537
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_sanfranciscensis	0.00178	0	0.03977	0	0	0	0	0	0	0	0.02537	0	0	0	0.00186	0.0051	0	0.01979	0	0	0	0.0074	0	0.03582	0	0.06845	0	0	0.02103	0.1044	0	0	0	0	0	0	0	0	0	0.01644	0.03245	0	0	0	0	0	0.01126	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_variabile	0.00078	0	0	0	0.00144	0	0	0	0	0	0	0.00365	0	0.00079	0	0.00051	0	0.00057	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00231	0	0	0	0.00022	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	0.00037	0	0.00101	0.00239	0	0	0	0	0	0	0.09071	0	0.01914	0.16304	0.02543	0	0	0	0.02419	0.00624	0	0	0	0	0.0918	0	0.00436	0.54284	0	0	0.0264	0.02632	0	0	0	0.02644	0.03658	0.00072	0	0	0.15894	0	0	0.23131	0	0	0	0.03605	0	0.04973
