	CM_A01_I1_18	CM_A01_M0_18	CM_A04_I1_18	CM_A04_M0_18	CM_A06_I1_18	CM_A06_M0_18	CM_D02_I1_18	CM_D02_M0_18	CM_D03_I12_18	CM_D03_M0_18	CM_D04_I1_18	CM_D04_M0_18	CM_D05_I1_18	CM_D05_M0_18	CM_D06_I1_18	CM_D06_M0_18	CM_D07_I1_18	CM_D07_M0_18	CM_D08_I1_18	CM_D08_M0_18	CM_D09_I1_18	CM_D09_M0_18	CM_D10_I1_18	CM_D10_M0_18	CM_D11_I1_18	CM_D11_M0_18	CM_D13_I1_18	CM_D13_M0_18	CM_D15_I1_18	CM_D15_M0_18	CM_D21_I1_18	CM_D21_M0_18	CM_D21B_I12_18	CM_D24_I1_18	CM_D24_M0_18	CM_D26_M0_18	CM_D26A_I13_18	CM_D26AB_I1_18	CM_D26K_I12_18	CM_D33_I1_18	CM_D33_M0_18	CM_D39_I1_18	CM_D39_M0_18	CM_D40_I1_18	CM_D40_M0_18	CM_D43_I1_18	CM_D43_M0_18	CM_D48_M0_18	CM_D50_I1_18	CM_D50_M0_18
number_reads	 69397730	 47669482	 68028500	 43507386	 44438865	 39465507	 51446026	 46205805	 28792930	 50733000	 59084332	 50028307	 42769074	 92136650	130127484	 52030125	 35083693	 79634124	 25610018	 41158910	 38343168	 38753031	 47091523	 91253395	 61063150	 73484432	111768117	 46226513	 59860594	 48938485	 37220227	 50579593	 41075019	 61244807	 61620106	 59708958	 51998398	 47250316	 65830229	 51968007	 34064412	 61173586	 54333283	 51149675	 51985432	 49380127	 60613988	 45731318	102641190	 71121821
number_bases	 6985545594	 4796329191	 6838561595	 4363867978	 4406449653	 3973022842	 5133345540	 4601887533	 2899055882	 5080496386	 5946132081	 4990496325	 4251493658	 9131810448	13041806089	 5216220432	 3531515216	 8018694527	 2578083389	 4142384784	 3861442368	 3894166152	 4740522541	 9185763119	 6095721216	 7313819843	11228539003	 4579289554	 5976321871	 4867713719	 3744365474	 5020064512	 4128756348	 6162817712	 6201906790	 6008799475	 5232021884	 4757465422	 6620151974	 5221478988	 3427665907	 6129309749	 5447889428	 5128361471	 5201629674	 4954271748	 6075982670	 4601441431	10249705832	 7130206805
minimum_read_length	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75
median_read_length	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101
family_member	infant	mother	infant	mother	infant	mother	infant	mother	infant	mother	infant	mother	infant	mother	infant	mother	infant	mother	infant	mother	infant	mother	infant	mother	infant	mother	infant	mother	infant	mother	infant	mother	infant	infant	mother	mother	infant	infant	infant	infant	mother	infant	mother	infant	mother	infant	mother	mother	infant	mother
family	TettAJ_2019_c_8	TettAJ_2019_c_8	TettAJ_2019_c_7	TettAJ_2019_c_7	TettAJ_2019_c_6	TettAJ_2019_c_6	TettAJ_2019_c_5	TettAJ_2019_c_5	TettAJ_2019_c_4	TettAJ_2019_c_4	TettAJ_2019_c_3	TettAJ_2019_c_3	TettAJ_2019_c_24	TettAJ_2019_c_24	TettAJ_2019_c_23	TettAJ_2019_c_23	TettAJ_2019_c_22	TettAJ_2019_c_22	TettAJ_2019_c_21	TettAJ_2019_c_21	TettAJ_2019_c_20	TettAJ_2019_c_20	TettAJ_2019_c_19	TettAJ_2019_c_19	TettAJ_2019_c_18	TettAJ_2019_c_18	TettAJ_2019_c_17	TettAJ_2019_c_17	TettAJ_2019_c_16	TettAJ_2019_c_16	TettAJ_2019_c_15	TettAJ_2019_c_15	TettAJ_2019_c_15	TettAJ_2019_c_14	TettAJ_2019_c_14	TettAJ_2019_c_13	TettAJ_2019_c_13	TettAJ_2019_c_13	TettAJ_2019_c_13	TettAJ_2019_c_12	TettAJ_2019_c_12	TettAJ_2019_c_11	TettAJ_2019_c_11	TettAJ_2019_c_10	TettAJ_2019_c_10	TettAJ_2019_c_9	TettAJ_2019_c_9	TettAJ_2019_c_2	TettAJ_2019_c_1	TettAJ_2019_c_1
curator	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi
NCBI_accession	SRR8784372	SRR8784374	SRR8784375	SRR8784364	SRR8784386	SRR8784387	SRR8784389	SRR8784391	SRR8784354	SRR8784390	SRR8784355	SRR8784370	SRR8784393	SRR8784383	SRR8784382	SRR8784378	SRR8784394	SRR8180448	SRR8784388	SRR8784368	SRR8784365	SRR8784381	SRR8784366	SRR8180450	SRR8784397	SRR8180449	SRR8784392	SRR8784356	SRR8784380	SRR8784395	SRR8784396	SRR8784379	SRR8784373	SRR8784376	SRR8180447	SRR8784360	SRR8784371	SRR8784369	SRR8784357	SRR8784359	SRR8784377	SRR8784385	SRR8784353	SRR8784361	SRR8784362	SRR8784363	SRR8784384	SRR8784358	SRR8784367	SRR8180446
k__Bacteria	99.92553	99.26537	11.74896	99.47985	99.11127	98.35432	99.91469	94.27934	99.84179	96.71219	100	98.90098	100	99.36952	99.86476	92.62295	99.96266	99.99776	99.11354	92.72492	99.98725	99.77144	96.69253	99.59852	94.08186	98.27741	99.69435	100	99.75105	98.48898	99.27622	99.05673	100	99.6906	100	99.69802	99.93609	99.86232	100	100	94.50326	100	94.08595	100	99.86058	99.90681	100	100	99.92731	92.01268
k__Viruses	0.07447	0.21008	88.25082	0.08063	0.08904	0.30458	0.08531	0.15539	0.15821	0	0	0.12672	0	0.19356	0.02297	0.14307	0	0	0	0.00161	0	0	3.30585	0	5.91814	0.02397	0.25557	0	0	0	0	0	0	0.06679	0	0.16536	0.02181	0.10229	0	0	0	0	0	0	0	0.07403	0	0	0.04552	0
k__Bacteria|p__Firmicutes	39.98042	81.92335	8.19375	51.69269	79.32076	77.24427	54.73009	45.9046	53.54316	60.37658	58.55644	82.79942	91.7621	53.76668	11.53135	45.44746	23.3424	64.55583	64.01564	64.78326	67.07328	50.66973	69.76627	49.63871	28.68778	82.34782	84.20283	22.59182	60.81049	56.95647	69.84425	65.19569	1.13712	68.59812	37.06208	72.61892	38.80711	45.8471	0.26883	33.3063	67.41756	24.92759	69.80087	11.2731	56.31859	75.22095	24.01271	48.67754	14.8974	70.2651
k__Bacteria|p__Actinobacteria	35.2473	2.52474	1.81715	2.44561	1.84906	0.72532	0.49944	29.16185	12.32012	14.56116	5.5006	4.91344	0.96246	1.35506	1.85577	6.8628	4.31409	3.51435	9.93694	4.73322	0.55298	4.13479	4.77307	16.61529	5.90298	4.14123	2.43389	0.39552	5.43769	7.15865	5.57218	4.89421	81.6092	8.44805	0.8996	12.31088	4.69358	3.28521	97.64926	14.71898	17.75515	24.18454	6.22546	74.17842	12.54109	2.49695	11.8784	0.95444	67.39894	3.24933
k__Bacteria|p__Bacteroidetes	24.42958	5.33199	0.64196	45.09482	17.52417	20.08647	42.84856	17.81111	31.53471	21.1454	35.30313	9.59821	6.99316	40.92107	85.6096	39.59892	27.08618	27.46278	23.1444	14.46319	31.7871	26.02903	19.66278	32.77689	36.68945	11.46695	2.04075	74.32557	31.90765	34.00551	22.63103	27.62494	0.03662	19.35562	55.80574	13.79699	55.95771	48.86861	0.80767	0.00092	8.37904	24.56463	15.2834	13.38497	30.66501	21.63772	60.35379	49.57469	2.88468	16.65295
k__Bacteria|p__Proteobacteria	0.26823	3.43456	1.09271	0.24672	0.41729	0.2916	0.8088	1.28506	0.26369	0.60539	0.63984	0.41075	0.15288	2.30937	0.15557	0.52602	19.72545	0.28662	0.51833	0.17516	0.41918	16.71524	0.59751	0.48578	8.01772	0.1202	10.94959	2.06972	1.11779	0.33048	1.22876	1.34189	17.21705	0.60419	0.43155	0.93503	0.47768	1.64189	1.27424	51.9738	0.18224	26.31437	0.29617	1.1635	0.10912	0.53279	1.71703	0.58663	14.74562	1.76804
k__Viruses|p__Viruses_noname	0.07447	0.21008	88.25082	0.08063	0.08904	0.30458	0.08531	0.15539	0.15821	0	0	0.12672	0	0.19356	0.02297	0.14307	0	0	0	0.00161	0	0	3.30585	0	5.91814	0.02397	0.25557	0	0	0	0	0	0	0.06679	0	0.16536	0.02181	0.10229	0	0	0	0	0	0	0	0.07403	0	0	0.04552	0
k__Bacteria|p__Firmicutes|c__Clostridia	36.54641	67.81937	4.92881	49.38957	64.52387	70.39404	49.01842	40.34411	46.01022	55.48723	54.61811	73.99806	90.76857	50.78014	7.76184	34.6259	21.89938	58.00173	58.73033	61.91624	64.28096	44.69618	59.68505	42.46522	19.40628	74.71961	2.73982	17.48143	51.41806	52.04573	69.61365	64.90943	0.1039	57.15903	24.51587	62.38659	33.30165	38.92845	0.00205	25.29416	60.48886	22.97984	64.11566	4.75203	52.3525	55.33367	15.08852	43.05706	6.65409	63.49122
k__Bacteria|p__Actinobacteria|c__Actinobacteria	35.2473	2.52474	1.81715	2.44561	1.84906	0.72532	0.49944	29.16185	12.32012	14.56116	5.5006	4.91344	0.96246	1.35506	1.85577	6.8628	4.31409	3.51435	9.93694	4.73322	0.55298	4.13479	4.77307	16.61529	5.90298	4.14123	2.43389	0.39552	5.43769	7.15865	5.57218	4.89421	81.6092	8.44805	0.8996	12.31088	4.69358	3.28521	97.64926	14.71898	17.75515	24.18454	6.22546	74.17842	12.54109	2.49695	11.8784	0.95444	67.39894	3.24933
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	24.42958	5.33199	0.64196	45.09482	17.52417	20.08647	42.84856	17.81111	31.53471	21.1454	35.30313	9.59821	6.99316	40.92107	85.6096	39.59892	27.08618	27.46278	23.1444	14.46319	31.7871	26.02903	19.66278	32.77689	36.68945	11.46695	2.04075	74.32557	31.90765	34.00551	22.63103	27.62494	0.03662	19.35562	55.80574	13.79699	55.95771	48.86861	0.80767	0.00092	8.37904	24.56463	15.2834	13.38497	30.66501	21.63772	60.35379	49.57469	2.88468	16.65295
k__Bacteria|p__Firmicutes|c__Bacilli	1.83694	0.00668	0.65762	0.30371	12.1134	5.06052	1.27878	0.27557	0.57492	0.0086	0.16275	0.18837	0.10255	1.46109	3.17628	1.26895	0.02796	0.08424	0.30605	0.08129	0.23915	2.08176	0.16037	1.80114	3.73192	0.98212	75.06318	0.79864	4.56377	0.46818	0.00578	0.0045	0.5079	3.55134	8.05384	4.58691	2.50073	1.41609	0.20733	4.75649	4.13644	0.39895	0.11101	0.52699	0.11275	1.41928	6.59457	2.52252	0.02197	0.62747
k__Bacteria|p__Firmicutes|c__Negativicutes	1.59284	13.93664	2.5345	1.65662	2.19703	1.27002	3.76014	3.77559	2.30891	2.78211	3.35262	8.12591	0.17767	1.15816	0.39811	6.59273	1.30068	4.07838	4.11404	1.39486	0.94297	2.05401	1.17398	4.34209	5.24448	6.27764	6.06136	4.04561	3.61432	3.00042	0	0	0.52532	4.76775	4.37725	3.97627	2.18391	4.8875	0.05944	2.89136	2.47163	1.4121	4.6925	5.83812	3.55193	18.31412	1.76097	1.23415	8.20006	4.82545
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.21335	2.86545	0	0	0.18083	0.14912	0	0	0.16384	0.53103	0.06535	0.00686	0.00847	0.21521	0	0.41583	0.85809	0.21635	0.37386	0	0.01664	0	0.46374	0.01698	1.98703	0	0.00397	0.13131	0	0	0.0175	0.01312	0	0.1309	0.28009	0.25012	0.08992	0.00797	0	0	0	0.03267	0.00563	0	0	0.14329	0	0.07155	0.2888	0.2379
