	CA_C10001IS2006FE_t1M15	CA_C10001IS2009FE_t2M15	CA_C10001IS2012FE_t3M15	CA_C10002MS2016FE_t0M15	CA_C10002IS2023FE_t2M15	CA_C10002IS2026FE_t3M15	CA_C10002IS2028FE_t4M15	CA_C10003MS2030FE_t0M15	CA_C10003IS2040FE_t3M15	CA_C10003IS2042FE_t4M15	CA_C10005MS2062FE_t0M15	CA_C10005IS2066FE_t1M15	CA_C10005IS2069FE_t2M15	CA_C10005IS2077FE_t4M15	CA_C10006IS2084FE_t1M15	CA_C10006IS2087FE_t2M15	CA_C10006IS2091FE_t3M15	CA_C10006IS2095FE_t4M15	CA_C10006IS2095FE_t5M16	CA_C10007MS2098FE_t0M15	CA_C10007IS2102FE_t1M15	CA_C10007IS2105FE_t2M15	CA_C10007IS2110FE_t3M15	CA_C10007IS2114FE_t4M15	CA_C10007IS2113FE_t5M16	CA_C10008IS2120FE_t1M15	CA_C10008IS2123FE_t2M15	CA_C10008IS2127FE_t3M15	CA_C10008IS2131FE_t5M16	CA_C10009IS2138FE_t1M15	CA_C10009IS2141FE_t2M15	CA_C10009IS2149FE_t4M15	CA_C10009IS2145FE_t3M16	CA_C10009IS2149FE_t5M16	CA_C10009MS2134FE_t0M15	CA_C10015IS2235FE_t3M15	CA_C10015IS2246FE_t1M15	CA_C10015IS2249FE_t2M15	CA_C10015MS2242FE_t0M15	CA_C10019IS2318FE_t1M15	CA_C10019IS2321FE_t2M15	CA_C10019IS2329FE_t4M15	CA_C10019IS2352FE_t3M15	CA_C10019MS2314FE_t0M16	CA_C10019IS2329FE_t5M16	CA_C10020IS2336FE_t1M15	CA_C10020IS2339FE_t2M15	CA_C10020IS2343FE_t3M15	CA_C10020MS2332FE_t0M15	CA_C10020IS2347FE_t4M15	CA_C10020IS2345FE_t5M16	CA_C10023IS2390FE_t1M15	CA_C10023IS2393FE_t2M15	CA_C10023MS2386FE_t0M15	CA_C10023IS2397FE_t3M15	CA_C10023IS2401FE_t4M16	CA_C10023IS2401FE_t5M16	CA_C10024IS2408FE_t1M15	CA_C10024IS2411FE_t2M15	CA_C10024IS2415FE_t3M15	CA_C10024IS2419FE_t4M15	CA_C10024IS2419FE_t5M16	CA_C10026IS2444FE_t1M15	CA_C10026IS2449FE_t2M15	CA_C10026IS2451FE_t3M15	CA_C10026MS2440FE_t0M15	CA_C10026IS2465FE_t4M16	CA_C10029IS2496FE_t1M15	CA_C10029IS2499FE_t2M15	CA_C10029MS2492FE_t0M15	CA_C10029IS2503FE_t3M15	CA_C10031MS2526FE_t0M15	CA_C10031IS2537FE_t3M15	CA_C10031IS2541FE_t4M15	CA_C10031IS2530FE_t1M15	CA_C10031IS2541FE_t5M16	CA_C10032IS2548FE_t1M15	CA_C10032IS2551FE_t2M15	CA_C10032IS2555FE_t3M15	CA_C10032IS2559FE_t4M15	CA_C10032IS2559FE_t5M16	CA_C10032MS2544FE_t0M15	CA_C10034IS2584FE_t1M15	CA_C10034IS2587FE_t2M15	CA_C10034MS2580FE_t0M15	CA_C10034IS2591FE_t3M15	CA_C10034IS2595FE_t4M15	CA_C10035IS2602FE_t1M15	CA_C10035IS2605FE_t2M15	CA_C10035MS2598FE_t0M15	CA_C10035IS2609FE_t3M16	CA_C10035IS2913FE_t4M16	CA_C10039MS2670FE_t0M16	CA_C10039IS2677FE_t2M16	CA_C10039IS2681FE_t3M16	CA_C10039MS2669SA_t0M15	CA_C10042MS2724FE_t0M16	CA_C10042IS2731FE_t2M16	CA_C10042IS2735FE_t3M16	CA_C10042IS2739FE_t4M16	CA_C10042IS2739FE_t5M16	CA_C10043IS2749FE_t2M16	CA_C10043MS2742FE_t0M16	CA_C10049IS2854FE_t1M16	CA_C10049IS2861FE_t3M16	CA_C10049IS2866FE_t4M16	CA_C10049IS2866FE_t5M16	CA_C10049IS2857FE_t2M16	CA_C10049MS2850FE_t0M16	CA_C10052MS2904FE_t0M16	CA_C10052IS2908FE_t1M16	CA_C10052IS2911FE_t2M16	CA_C10052IS2915FE_t3M16	CA_C10052IS2920FE_t5M16	CA_C10055IS2962FE_t1M16	CA_C10055IS2965FE_t2M16	CA_C10055IS2969FE_t3M16	CA_C10055MS2958FE_t0M16	CA_C10055IS2973FE_t4M16
country	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA
non_westernized	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
number_reads	 25827165	 50378461	 24249648	 54052944	 27894756	 80077591	 72070700	 28434157	 23461500	 82922872	 23854120	 26622614	 32428563	 43150414	 38787590	 37975052	 53783051	 43091677	 26483796	 41693247	 70853387	 29968146	 34162375	 77716037	 25236049	 12476419	 13242265	  4913804	 23363505	   228760	388361953	 29184422	 52954447	 25820021	 31762705	 13233231	  8021249	 27571314	 20037819	 66008581	 30803142	 42870356	 70352200	  3923860	 13835766	 14453985	  6393938	 15163311	 14621540	 33124355	 58321971	   416043	 50508401	 26724373	 37906171	  5337123	 24387994	    84972	 52160755	 68805059	 17109912	 19034021	  3957557	  6002454	   441039	  8011042	 17842630	  7342861	 64626422	 65384051	 29706499	173092066	 22582992	 19945434	 29294836	 45926667	  2186679	  8186027	 93513398	 47293945	 27240442	 33836923	  2575995	  7362014	  8813958	 53375038	 40050678	 11314252	 61103731	 31842973	 19651062	 15487201	 32380098	 39653643	 43519445	  6824785	 14743943	 21614267	 13504035	 13231360	 30903713	 53235938	 55403888	 15280107	 31245436	 13092798	  1401733	 29965705	 31132520	  4961364	 21855786	 24915812	 52700042	 51905183	 12509816	  9620419	 44660472	 56884199	  5487403
number_bases	 2477845202	 4864662160	 2326365577	 5174403485	 2638066640	 7858824670	 7100655458	 2688708766	 2272174834	 8201560582	 2334519204	 2441064239	 3143189768	 3974006810	 3460226011	 3220589517	 4667483190	 4175194630	 2624028606	 3948363314	 6813394820	 2885855655	 3246399444	 7509123513	 2504482158	 1215860259	 1289352551	  473187852	 2314641929	   17309085	35811761652	 2640442210	 5138221673	 2555666526	 3093194038	 1108719997	  694702476	 2702331525	 1985620710	 5964572252	 2843290193	 3610804901	 5989998137	  386543529	 1346964510	 1431053892	  575058058	 1504687283	 1446882684	 3277051146	 5763542086	   40489603	 4984420325	 2601324423	 3726827011	  522442278	 2409780602	    8134041	 5175007493	 6814188655	 1694774691	 1883365598	  382903864	  587195207	   43240388	  784478590	 1765987857	  730225119	 6430883112	 6503467714	 2955062694	17215638824	 2243244992	 1983203921	 2896301946	 4539450189	  202956588	  735939930	 9022889268	 4704927190	 2697212319	 3360009454	  237815099	  694381758	  870044724	 5309530434	 3984896242	 1059436753	 5935988284	 3126001638	 1947387896	 1532124409	 3180644076	 3873905144	 4305856247	  662047328	 1460295114	 2113178524	 1330596601	 1309097683	 3061012651	 5267499211	 5454891769	 1472451328	 3100469792	 1273931214	  138558169	 2966565838	 3086600317	  490096083	 2163816341	 2464012890	 5209626860	 5117241357	 1196723189	  951190757	 4387914426	 5607203315	  536727574
minimum_read_length	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	23	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
median_read_length	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	 82	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
family_role	child	child	child	mother	child	child	child	mother	child	child	mother	child	child	child	child	child	child	child	child	mother	child	child	child	child	child	child	child	child	child	child	child	child	child	child	mother	child	child	child	mother	mother	child	child	child	mother	child	child	child	child	mother	child	child	child	child	mother	child	child	child	child	child	child	child	child	child	child	child	mother	child	child	child	mother	child	mother	child	child	child	child	child	child	child	child	child	mother	child	child	mother	child	child	child	child	mother	child	child	mother	child	child	mother	mother	child	child	child	child	child	mother	child	child	child	child	child	mother	mother	child	child	child	child	child	child	child	mother	child
family	 1	 1	 1	 2	 2	 2	 2	 3	 3	 3	 5	 5	 5	 5	 6	 6	 6	 6	 6	 7	 7	 7	 7	 7	 7	 8	 8	 8	 8	 9	 9	 9	 9	 9	 9	15	15	15	15	19	19	19	19	19	19	20	20	20	20	20	20	23	23	23	23	23	23	24	24	24	24	24	26	26	26	26	26	29	29	29	29	31	31	31	31	31	32	32	32	32	32	32	34	34	34	34	34	35	35	35	35	35	39	39	39	39	42	42	42	42	42	43	43	49	49	49	49	49	49	52	52	52	52	52	55	55	55	55	55
feeding_practice	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	NA	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	NA	exclusively_breastfeeding	exclusively_breastfeeding	NA	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	NA	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	any_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	NA	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	NA	NA	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	NA	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	NA	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	NA	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	any_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	NA	any_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	NA	exclusively_breastfeeding	NA	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	any_breastfeeding	NA	exclusively_breastfeeding	exclusively_breastfeeding	NA	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	NA	exclusively_breastfeeding	exclusively_breastfeeding	NA	exclusively_breastfeeding	exclusively_breastfeeding	NA	NA	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	NA	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	NA	NA	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	any_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	exclusively_breastfeeding	NA	exclusively_breastfeeding
curator	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti	Pamela_Ferretti
