	C16-20002-TZ	C16-20003-TZ	C16-20005-TZ	C16-20070-TZ	C16-20071-TZ	C16-20072-TZ	C16-20073-TZ	C16-20117-TZ	C16-20118-TZ	C16-20119-TZ	C16-20123-TZ	C16-20135-TZ	C16-20152-TZ	C16-20153-TZ	C16-20197-TZ	C16-20198-TZ	C16-20211-TZ	C16-20212-TZ	C16-20215-TZ	C16-20237-TZ	C16-20238-TZ	C16-20246-TZ	C16-20247-TZ	C16-20248-TZ	C16-20340-TZ	C16-20341-TZ	C16-20345-TZ	C16-20346-TZ	C16-20347-TZ	C16-20371-TZ	C16-20372-TZ	C16-20373-TZ	C16-20374-TZ	C16-20415-TZ	C16-20416-TZ	C16-20417-TZ	C16-20437-TZ	C16-20438-TZ	C16-20439-TZ	C16-20440-TZ	C16-20441-TZ	C16-20470-TZ	C16-20471-TZ	C16-20473-TZ	C16-20474-TZ	C16-20475-TZ	C16-20491-TZ	C16-20492-TZ	C16-20493-TZ	C16-20494-TZ	C16-20548-TZ	C16-20549-TZ	C16-20550-TZ	C16-20551-TZ	C16-20554-TZ	C16-20557-TZ	C16-20558-TZ	C16-20625-TZ	C16-20626-TZ	C16-20627-TZ	C16-20645-TZ	C16-20646-TZ	C16-20647-TZ	C16-20648-TZ	C16-20649-TZ	C16-20650-TZ	C16-20651-TZ	C16-20652-TZ
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii	0.02551	0.13064	0.01836	0.05376	1.88241	0.00547	0.00828	0.00227	0.00024	0.01839	0.00986	0.04151	0.11834	0.0102	0.47886	0.07488	0.25109	0.00679	0.32195	0.05069	0.1379	0.01182	0.02352	0.3293	0.03021	0.16162	1.29174	0.23716	0.32548	0.20408	0.78986	0.06831	0.08009	0	0.28023	0	0.36568	0.07339	0.0052	0.37832	0.21876	0.03974	0.19431	0.02516	0.4631	0.02097	0	0	0.00291	0.02669	0.22496	0.05575	0.07162	0.00458	0.09482	0	0.01482	0.00854	0.01944	0.24244	0.0661	0.07513	0.06089	0.22889	0.05742	0.15839	0	0.0038
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified	0.0241	0.03998	0.34833	0.04958	0	0	0.07226	0.01433	0	0.02595	0.02287	0	0.12979	0.0954	0.23457	0.07889	0.46155	0.23801	0.0193	0.01112	0.07545	0.01813	0	0.35911	0	0	0	0	0.00972	0.02522	0	0	0	0	0	0	0.02481	0.04505	0	0.00377	0.02842	0	0.06097	0	0.0162	0	0.20377	0.02628	0	0.04206	0.06042	0.03497	0	0	0.01222	0.01149	0.04152	0.01422	0	0	0.04111	0.02032	0	0.05515	0.06474	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0.02347	0.04317	0.01696	0	0	0.21986	0	0	0	0.14651	0.12801	4.98389	0	0.47689	0.00231	4.87291	0.42921	0.35349	9.02809	0	0.08486	0	0	2.76065	0.06515	1.56422	1.28164	0.00064	1.20126	0	0.58433	0.01826	4.82419	0	0	0.01185	0.04059	1.53436	0	0.64604	0.01496	0.06498	0	0.0432	0.57365	1.25549	0	0	0	0	0.02198	0	0	0.82751	4.18488	3.37757	0	0	0	2.31074	0.01088	0	0	0	0	0	0.34954	0.06667
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_senegalensis	0.02323	0.05768	0	0	0	0.17631	0	0.52496	0	0.16846	0.0555	0.04185	0	0.02631	0.08987	0.72916	0.11675	0	0.0536	0	0.26699	0.03796	0	0.09261	0.09872	0.06147	0	0.0201	0.07137	0.05998	0.03843	0.01675	0.31267	0	0.21505	0	0.09368	0.06842	0.00658	0.04997	0.04796	0.07172	0.07544	0.26532	0.02309	0.01014	0	0	0.01006	0.01461	0	0	0	0.04524	0.00186	0.02011	0.02507	0	0	0.20199	0	0.06077	0.0106	0	0.02154	0.0816	0	0.0107
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus	0.02204	0	0.16126	0	0.01181	0.14524	0	0.35983	0	0	0	0.49504	0.039	0.01503	0.46548	0.03784	0.00987	0.00547	0.0188	0.54624	0.04182	0.00086	0.03388	0	0.01686	0.102	0.08413	0.20846	0.3084	0.1037	0.23965	0.06675	0	0	0.37711	0	0.12969	0.60315	0.17133	0.58902	0	0.60071	0	0	2.4576	0.0581	0	0	0	0.03297	0.15383	0.00646	0	0	0	0	0.06679	0.12278	0.34269	0	0.02022	0.01366	0.19577	0	0.09739	0.02184	0.64895	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae	0.01977	0.0174	0	0.31981	0.00188	0.11033	0	0.39568	0	0.06371	0	0	2.87621	7.42052	0.03616	0.11654	0.06995	0	0.00768	0.00293	0	2.11684	1.45479	0.50443	0.68742	0.44829	0	0.00427	0	0.00456	0.00175	0	0	0	1.47807	0.18906	0.9823	0	0	0.00073	0	0	4.21475	0	3.58673	0	0	0.55952	0	0.04926	0	0	0	0	0.83834	1.85304	0.33768	0	0	0	0	0.0409	0	0	0	0	6.95219	0.00106
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes	0.01693	5.16677	0.44134	1.68348	0.3292	0.0981	0.18633	0.05217	2.27452	0.10527	0.02506	0.00201	1.05557	0.32013	0.19456	0.18617	0.37627	0.49125	0.18466	0.22082	0.18677	0.1681	0.01172	0.89612	0.10668	0.14111	0.20172	0.04316	0.15371	0.14301	0.80604	0.24722	0.4863	0	0.60183	0.01271	0.16327	0.16821	0.02265	0.047	0.17127	0.08876	0.36147	0.06343	0.75145	0.02505	0	0	0.04289	0.13637	0.43579	0.27978	0.1491	0.00269	0.11078	0	0.42632	0.22152	0.15033	0.31549	0.13769	0.28334	0.24124	0.04989	0.37889	1.05802	0.00078	0.08202
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Clostridium_bartlettii	0.01692	0.01628	0.00965	0	0	0.01334	0	0	0.04241	0	0.00592	0.10724	0	0	0	0	0.16617	0.26057	0.09472	0.03242	0.20868	0	0	0.18061	0.01815	0	0.05079	0	0.02761	0	0.39658	0.01306	0.29405	0	0.08492	0	0.01436	0.018	0.01964	0.19237	0	0	0.03427	0.04112	0.10564	0	0.36327	0	0.33012	0	0.03945	0.00687	0.02293	0.07944	0	0.00107	0	0.03118	0	0	0	0.00307	0.02086	0	0	0.00193	0	0.01059
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus	0.01639	0.89801	0.03206	0.00716	0.75103	0	0.08465	0.01735	0	0.04635	0.01343	0.06645	0.01937	0.00532	0.03077	0.04185	0.2878	0.00298	0.02382	0.16248	0.02121	0.01792	0.10764	0.07742	0.04039	0.1273	0.26402	0.04774	0.06858	0.05627	0.05386	0.20712	0.02151	0	0.05061	0.01709	0.08626	0.11986	0.10263	0.06223	0.07232	0.01677	0.0218	0.09127	0.06257	0	0	0	0.00738	0.02811	0.0939	0.0271	0.25323	0.0514	0.23026	0	0.04966	0.05914	0	0.05134	0.08698	0.09363	0.09604	0.25598	0.07901	0.13654	0	0.04834
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis	0.01513	0.00021	0	0.00866	0	0	0	0.01439	0.00133	0.00735	0.00193	0.01393	0.05416	0.03231	0.09331	0.01561	0.01762	0	0.01813	0	0.00122	0.0334	0.03821	0.01029	0	0.05115	0.00116	0.00145	0.0139	0	0	0	0.03607	0	0.00437	0.00095	0.01431	0	0	0	0	0.00148	0.05571	0.06848	0.01811	0.00081	0	0	0	0.00877	0	4e-04	0	0.00267	0.04463	0.23615	0.00284	0	0.00143	0.0581	0	0	0	0	0	0	0.00341	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA	0.01498	0	0	0	0	0	0	0	0	0.09474	0	0.04045	0	0	0.10706	0	0	0	0	0	0	0	0	0	0	0	0.06212	0	0	0	0	0	0	0	0	0	0.03576	0.02878	0.14799	0.05968	0	0	0	0	0	0	0	0	0	0	0.04558	0	0.41207	0	0	0.01147	1.1369	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus	0.01434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_unclassified	0.00978	0.00493	0	0.0847	0.4061	0	0	0.05994	0	0.13075	0.27786	0.01855	0.04001	0.31942	0	0.21151	0.09244	0.41284	0.0446	0.02708	0.14628	0.01317	0.13234	0.05534	0.02891	0.03945	0	0.00086	0	0	0.096	0.03649	0.0379	0	0	0.00449	0.31977	0.44853	0.03467	0.1968	0.01437	0.05732	0	0	0.82627	0.09373	0	0.58333	0.04397	0.06731	0.00519	0	0.01751	0.48676	0.41113	0	0.0073	0	0.00083	0.35429	0	0.12054	0	0.14879	0.00366	0.19465	0.52763	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	0.00966	0.01735	0	0.0998	0	0.13757	0	1.38986	0.0466	1.45989	0.00284	0.05618	0.95818	0.46319	0	0.05218	0.06143	0	0.02688	0	0	0.17563	1.48918	0.09538	1.13092	0.35093	1.23077	0.08293	0.30441	0	0	0	0.54866	0	0.15338	0.0216	0.74099	0	0.02345	0.0036	0	0.01792	0.43476	1.54808	0.10127	0.13956	0	0	0.0033	0.21166	0	0	0	0.02063	0.55614	1.39742	0.01931	0	0	0.27492	0	0.00809	0	0	0	0	1.67531	0
